,Porygon-Z,Mandibuzz,Bronzong,Volcarona,Raichu-Alola,Thundurus,Toxicroak,Spiritomb,Snorlax,Kangaskhan,Hitmonlee,Barraskewda,Mimikyu,Machamp,Tornadus,Cresselia,Xurkitree,Eiscue,Mew,Blaziken,Diggersby,Rhydon,Exeggutor-Alola,Absol,Garchomp,Slurpuff,Ferrothorn,Appletun,Krookodile,Zapdos-Galar,Kommo-o,Milotic,Ditto,Flygon,Marowak-Alola,Toxapex,Dhelmise,Latias,Mesprit,Landorus-Therian,Bisharp,Toxtricity,Vanilluxe,Lucario,Golurk,Steelix,Aurorus,Mantine,Regidrago,Sharpedo,Scolipede,Aggron,Slowbro,Heliolisk,Diglett-Alola,Omastar,Corsola-Galar,Pyukumuku,Zarude,Victini,Venusaur,Magnezone,Blastoise,Latios,Durant,Tapu Bulu,Incineroar,Moltres-Galar,Araquanid,Moltres,Cloyster,Klefki,Togekiss,Dracozolt,Salamence,Arctozolt,Metagross,Haxorus,Vikavolt,Inteleon,Melmetal,Crawdaunt,Crobat,Mamoswine,Goodra,Tyrantrum,Starmie,Chansey,Celesteela,Silvally-Ice,Hippowdon,Blissey,Slowbro-Galar,Politoed,Guzzlord,Buzzwole,Exploud,Decidueye,Lanturn,Amoonguss,Urshifu-Rapid-Strike,Seismitoad,Blacephalon,Rotom-Wash,Pelipper,Avalugg,Talonflame,Scyther,Umbreon,Alakazam,Heracross,Rhyperior,Greedent,Pangoro,Quagsire,Dragonite,Darmanitan,Gyarados,Zygarde-10%,Vaporeon,Chandelure,Reuniclus,Ribombee,Heatran,Barbaracle,Druddigon,Dragapult,Terrakion,Weezing-Galar,Gardevoir,Regieleki,Conkeldurr,Slowking,Drampa,Audino,Hawlucha,Roserade,Torkoal,Excadrill,Polteageist,Bewear,Comfey,Grimmsnarl,Arctovish,Tentacruel,Zeraora,Gengar,Swampert,Corviknight,Tapu Fini,Rapidash,Sableye,Slowking-Galar,Primarina,Necrozma,Electivire,Suicune,Indeedee,Scizor,Nidoking,Zapdos,Cobalion,Rillaboom,Keldeo,Tapu Lele,Gastrodon,Tapu Koko,Thundurus-Therian,Weavile,Glastrier,Tornadus-Therian,Gigalith,Volcanion,Tyranitar,Aegislash,Registeel,Xatu,Nihilego,Charizard,Trevenant,Pikachu,Zoroark,Salazzle,Shuckle,Galvantula,Orbeetle,Crustle,Hitmonchan,Clefable,Jellicent,Shiftry,Stakataka,Mienshao,Ninetales-Alola,Clawitzer,Hatterene,Rotom-Heat,Entei,Tangrowth,Lycanroc-Dusk,Espeon,Diancie,Kartana,Dunsparce,Azumarill,Runerigus,Aerodactyl,Jirachi,Porygon2,Hydreigon,Golisopod,Shedinja,Mr. Rime,Azelf,Tsareena,Skarmory,Hitmontop,Whimsicott,Obstagoon,Kingdra
Mr. Mime-Galar,0.0,0.0,0.0,7.732e-07,0.0,0.0,0.0,1.133e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.3355e-06,0.0,0.0,0.0,0.0,0.0,0.0016972743,0.0,9.3817e-06,0.0,3.537e-07,0.0,1.475e-07,0.0,0.0276176231,0.0,8e-10,0.0,4.32e-08,0.0,0.0048392277,0.0227887972,0.0,0.0,0.0,9.5292e-06,1.88e-08,0.0,0.0,2.07e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016972743,0.0,0.0,0.0,0.0,4.32e-08,0.0048298459,0.0,0.0,2.15e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-09,4.33e-08,0.0,2.07e-08,0.0,2.2673e-06,7e-10,0.0,0.0,1.44e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.732e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227794154,0.0,0.0,0.0016972743,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44e-08,0.0,0.0,8.002e-07,0.0001000172,0.0001000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0227795899,0.0,0.0,4.472e-07,0.0,0.0,0.0,4.33e-08,0.0016972743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004829846,0.0,0.0,0.0,0.0,0.0001000172,1.133e-06,1.92387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1501e-06,0.0,1.475e-07,0.0,0.0,0.0,2.2673e-06,0.0,4.8e-09,0.0,0.0,0.0227794154,1.44e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475e-07,0.0,0.0,0.0,9.3817e-06,0.0,0.0,0.0,0.0,2.2696e-06,1.92387e-05,0.0,0.0,0.0,0.0,0.0016972743,0.0,3.537e-07,0.0001000172,8.3355e-06,0.0,0.0,0.0,0.0,0.0,2.07e-08,1e-10,0.0,0.0,0.0,0.0,0.0,0.0001003708,2.07e-08,3.537e-07,0.0
Buneary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eevee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002092601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001988304,0.0,0.0,0.0,0.0,0.0,1.094e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002092623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48991e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48992e-05,0.0,0.0,0.0,9e-10,0.0,1.094e-07,1.094e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094e-07,0.0,0.0,0.0002092601,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002092623,0.0,0.0,7.258e-07,0.0,0.0,0.0,0.0,0.0
Poliwrath,0.0024408763,0.0,0.0002704156,0.0024426171,0.0,7.789e-07,0.0003853875,0.000370198,0.0085781296,0.0,1.497e-07,0.0325572831,3.438e-07,0.0,0.0,0.0,0.0,3e-10,0.0022107116,8.483e-06,0.0,0.0015186266,0.0,0.0,0.0002034544,0.0002695125,0.3466825475,0.0,1.558e-07,1.0226e-06,0.0002695126,0.0,6.69246e-05,0.0002703971,5.857e-06,1.17984e-05,0.0,4.05e-08,0.0,0.02016398,4.9271e-06,2.172e-07,0.0002650846,6.647e-06,2.39625e-05,1.296e-07,0.0,0.0,0.0,4.89e-08,0.0,0.0,1.63004e-05,9.234e-07,0.0,0.3442242557,0.0,0.0,0.0,0.0,0.0104738439,0.0004641784,0.0015186268,0.0,0.0,0.0,0.0001770511,2.65769e-05,3.872e-07,0.0033152011,9.295e-07,0.0072479334,7.5e-09,8.318e-07,1.40043e-05,8.529e-07,4.563e-07,9.258e-07,0.0,0.0,0.0084219547,4.70713e-05,1e-06,0.0105376981,0.0086969678,7.5e-09,0.0,1.8179e-06,0.0,0.0,0.0,0.0026370456,0.0002702475,0.0204095166,0.0,1.55e-08,0.0,0.0033152011,7.38873e-05,0.0021053107,0.0,0.3476109669,5.31646e-05,0.0,0.3928449495,0.0,0.007213194,0.0,3.47399e-05,0.0002703971,6.3323e-06,4.63362e-05,0.0,2.1635e-06,0.0,2e-10,0.0,0.0001227816,0.0,0.0,0.0,2e-10,0.0002359831,0.0190137366,0.0,9.32801e-05,0.0001896621,0.0,0.000370198,4.66831e-05,0.0002442109,0.0,0.0,0.0,3e-10,1e-10,0.0,2.859e-07,0.0026095373,1e-10,2.1635e-06,0.0,0.0,1e-10,7.39335e-05,0.0033152052,1.3473e-06,0.0082839963,0.0002910758,0.0,0.0,6.69652e-05,0.0,2.39625e-05,1e-06,9e-10,0.0,0.0,7.23368e-05,1.39851e-05,0.3711281621,0.0,8.22216e-05,0.0,0.0006060816,0.0,0.002440583,0.0004541101,0.0001898404,0.0,0.013750181,0.0,0.0124312858,0.0024431434,0.0,0.0,0.0,8.72e-07,0.0002695128,0.0,0.0085779798,0.0,0.0,2e-10,0.0,7.351e-07,0.0,0.0,0.0037701031,4.63362e-05,0.0,3.1e-09,0.0,8.582e-07,5.29e-08,3.6e-09,1.63003e-05,0.0,0.0,5e-10,0.0085779794,0.0,0.0003726164,0.0,3.438e-07,0.0,0.0086712594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3032e-06,0.0,0.0,0.0145435748
Emolga,0.0,0.0,0.0,0.0008716606,0.0006595077,0.0,0.0,0.0,0.0,0.0,0.0,6.8131e-06,0.0012290005,0.0,0.0,0.0008295413,0.0002467541,0.0,0.0,0.0015131389,1.36e-08,0.0,0.0,0.0,0.0003075578,0.0001325996,0.0001325996,0.0,0.0,0.0008295413,0.0,2.6331e-05,0.0,4.79426e-05,0.0,2.1411e-06,0.0,0.0,0.0,9.6e-08,1.283e-07,6.23e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015131389,0.0006064352,8.5059e-06,0.0,0.0,0.0,0.0,0.0,1.36e-08,0.0,2e-10,1.0804e-06,0.0,0.0,0.0,0.0,0.0,1.0804e-06,0.0,0.0,0.0,0.0,1.432e-07,0.0,3.5135e-06,0.0,0.0009622048,6.305e-07,0.0015131389,8.4139e-05,0.0,0.0,0.0,0.0003077165,0.0,0.0,0.0,0.0008295413,0.0,0.0,2.1411e-06,0.0,0.0,0.0,8.5019e-06,0.0,0.0,7.3e-09,0.0,1.83e-07,0.0008236445,0.0,0.0,0.0,3.5135e-06,0.0,0.0,8.41385e-05,1.83e-07,0.0,0.0,0.0,0.0,0.0,0.0003077165,0.0,0.0,0.0,0.0,2.13e-08,1.0804e-06,1.36e-08,0.0005486277,0.0,0.0,0.0015237819,0.0,0.0,4.79426e-05,0.0,0.0,0.0,0.0,0.0,0.0005222967,0.00017625,6.8131e-06,0.000307717,0.0015131389,0.0001325996,2.6331e-05,0.0,0.0,0.0001325996,0.0,0.0001325997,4.79426e-05,6.8131e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0009158209,0.0,0.0,0.0,1.432e-07,0.0,0.0001694359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62641e-05,0.0,0.0014114203,0.0,0.0,1.83e-07,0.0,0.0,2e-10,0.0,8.62796e-05,0.0,0.0,0.0,0.0,3.5135e-06,0.0,0.0008295413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-10,9.6e-08,0.0,0.0,0.0,0.0006542089,0.0,0.0002467541,0.0,0.0,0.0
Butterfree,0.0,0.0,3.69398e-05,0.0099774897,3.69e-08,2.78e-08,0.0,2.79e-08,0.0004540973,1e-10,3.53248e-05,0.0022755124,0.0100797279,3.73691e-05,1.2e-09,0.0,0.0115736147,0.00363927,3.5247e-06,0.0007494362,4.52816e-05,0.0,0.0,0.0,0.0161725602,0.0020712219,0.0114283872,0.0002015852,0.0001660829,5.8738e-06,6.6051e-06,0.0001112627,0.0268748933,5.09842e-05,0.0,0.0301108023,0.0,0.0015439842,0.0,0.0034236356,0.0036164207,4.42e-08,0.0,0.0024904247,0.0,0.0,2.78e-08,0.0,0.0,0.0,2.64668e-05,0.0,1.1e-08,0.0,0.0,3.69398e-05,0.0003062758,0.0101588582,0.0,3.5054e-06,6.4568e-06,0.0051067606,0.0001269928,1.2e-09,0.0001264839,0.0022951639,0.0005280429,0.0009620795,4.62e-08,0.0,0.0088767196,1e-10,0.0002361059,0.0004365585,0.0002339435,2.62157e-05,0.0,0.0032084157,3.064e-06,0.0,0.0001177911,1.4e-09,2.06e-07,1.884e-07,0.0,0.0,0.0120622271,0.0159505254,3.15559e-05,0.0,0.0015439842,0.0342265884,0.000201594,0.0,0.0,0.0007795213,0.0,2.51109e-05,0.0,0.0,0.0121284386,0.0,0.0022169262,0.0016495975,0.0108298485,0.0,6.34697e-05,0.0007755711,0.0,0.0002002475,0.0001209147,0.0,0.0,0.0,0.0045229111,0.0100988068,0.0129003053,0.0001684149,0.0,2.06e-07,0.000767571,8.4646e-06,0.0127018855,0.0002787427,0.0,0.0,0.2692026839,0.0,0.0,0.0,6.8453e-05,0.243188469,0.0001247383,0.0,0.0,3.05268e-05,0.0,0.0013370471,0.0069319549,0.007151814,0.0,1.524e-07,0.0007347308,0.0,4.5596e-05,3.72503e-05,0.0002431826,0.0245511317,0.0287674781,0.0,0.0,2.43617e-05,5.47905e-05,0.0,0.0,8e-10,1.2e-09,2.1e-09,0.0001634386,0.2448252726,0.0082634405,0.0,8.9466e-06,0.0,0.0035602109,0.001358994,0.0002187141,0.0006934777,0.0005040341,0.0,0.2430713329,0.0002195718,7.33e-08,0.0005157022,2.83928e-05,0.0,3.05228e-05,0.0006314011,0.0006823784,0.0,0.0279858109,1.15472e-05,3.69e-08,0.0001383251,0.0024575878,2.1e-09,1.99e-08,0.0,0.0029874096,7.24e-08,0.0,0.0004146066,6e-10,0.0005913618,0.0,0.2525020555,0.0026717091,0.0120622271,0.0102114971,0.0,0.0004194637,0.0,0.001933428,0.0,0.0492846911,0.0,0.0004506343,0.0007306886,0.0001175375,0.0021898037,0.0007755606,0.0001397642,0.0,0.012308454,2.78e-08,4.37068e-05,0.000220443,1.17751e-05,0.0120622271,7.517e-07
Tornadus,0.0052590689,0.0003697506,0.0,4.41449e-05,0.0,3.9e-09,2.73e-08,0.0,6.907e-07,0.0,0.0,1.8847055413,0.0,5.7e-09,0.0,0.0,0.0,0.0,0.1687429532,3.0375e-06,0.0,0.0,1.8e-09,0.0,0.079119277,0.0,0.0736688315,0.0,0.0797454933,1.71117e-05,0.0904653433,0.0001596749,1.0577e-06,0.0015260282,3.036e-07,6.0641e-06,0.0015260282,0.0797367666,0.0,1.9368240031,0.0228685371,0.0,0.0,0.0,0.0,7.377e-07,9.8e-08,0.0,9.87033e-05,0.0,0.0,4.73e-08,0.0584072592,2e-10,0.0,0.0,0.0,0.0,2e-10,0.0014448777,0.0059297801,0.0001707425,4e-10,6.711e-07,0.0,0.0015689302,4.69038e-05,0.0,0.0059297816,3.4e-09,7e-10,0.0015260282,0.0,0.0010257586,0.0,0.0015692746,1.373e-07,6.644e-07,0.0,0.0010471437,0.0017308662,1.939e-07,0.0,0.001390612,0.0,0.0,0.0015260285,0.0,0.0015680241,1.939e-07,1.5e-09,0.0016511275,0.0,0.0001676764,0.0,0.0168420909,0.0,2.159e-07,3.434e-07,4.40968e-05,1.7951114209,0.0085721279,0.1657057669,0.0,1.8956182288,1.85653e-05,0.0052676723,0.0,0.0,4.44402e-05,6.30403e-05,0.0,0.0,0.0,0.0,3.214e-07,0.0551943986,0.0007015194,0.0,0.0,4.45601e-05,0.0,3.60731e-05,0.1419289587,1.3e-09,0.0,0.0011167484,3.62229e-05,0.0,0.0,0.0086311449,0.0002020757,0.0942511898,0.0002020745,0.0,0.0,0.0,0.0059808263,3.224e-07,0.0,0.0,0.0,1.93014e-05,0.0,0.0,0.0676786829,1.2e-09,0.0016816102,0.0016518799,0.0116047284,8.7e-08,7e-10,0.0797367659,3.706e-07,0.0,2e-10,0.0,0.0,0.0015141648,1.74126e-05,1.7964009141,7.58945e-05,0.0123029892,7.62155e-05,0.2065878461,2.94e-08,0.1071477829,0.0016039033,5.29489e-05,0.0,0.0,0.0,0.0015719369,0.0016500712,0.0124378034,0.0,9.72368e-05,0.0,0.0,0.0,0.0,1.2e-09,0.0,0.0,3.018e-07,0.0,0.0,0.0,0.0567768336,0.0,0.0,1.8e-09,4.45094e-05,3.022e-07,2e-09,8.5184e-06,1.8604e-05,0.0,0.0022942402,0.0,0.0,0.0015260282,0.0023456935,8.7683e-06,4.18e-08,0.0010257586,0.0,2e-10,3.211e-07,0.0016912347,0.0,7e-10,5.7e-09,0.0,0.0,0.0007015193,0.0037016195,0.2044353553,0.0001596749,4.0895e-06
Wobbuffet,5e-10,0.0,0.0,2.03817e-05,7.11e-07,0.0,0.0,0.0,1.45e-08,0.0,4.75254e-05,3e-10,2.03817e-05,5.36644e-05,0.0,0.0,1.615e-06,0.0,7.238e-07,1.613e-07,1e-10,0.0,0.0,0.0,7.11e-07,3.5128e-06,1.30654e-05,0.0,0.0002835787,2e-10,0.0,1.668e-07,6.3643e-06,0.0,0.0,1e-10,0.0,0.0,0.0,1.13e-07,0.0,6.3643e-06,2e-10,0.0,0.0001308269,1.2848e-06,0.0,0.0,2.8e-09,0.0,0.0,1.668e-07,1.94686e-05,0.0,0.0,0.0,0.0,4.75254e-05,0.0,6.7563e-06,8.7123e-06,1e-10,0.0,0.0,0.0,0.0,8.7123e-06,0.0,0.0,0.0,0.0,1e-10,0.0,1.30654e-05,1.94624e-05,2.03817e-05,0.0,8.7e-09,0.0,3.88e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.152e-06,0.0,0.0,3.46e-08,6.6386e-06,0.0,0.0,2.8e-09,1.30654e-05,3e-10,6.0453e-06,0.0,1.47e-08,1.22251e-05,5.493e-07,0.0,1.668e-07,1.613e-07,0.0,6e-09,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,3.48e-08,0.0002835789,0.0,1.009e-07,0.0,0.0,0.0,0.0,0.0,1.047e-07,0.0,3.88e-07,5.26532e-05,0.0,0.0,0.0,0.0001406912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1974e-06,0.0,0.0,2.09495e-05,0.0,1.30654e-05,0.0,2e-10,0.0,0.0,3.5131e-06,1.043e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.009e-07,0.0,0.0002835789,0.0,0.0,0.0,0.0,0.0,1.30654e-05,1.009e-07,6.7564e-06,0.0,6.0541e-06,0.0,0.0,0.0,0.0,1.152e-06,3.5272e-06,0.0,1.047e-07,0.0,0.0,0.0,0.0001354599,0.0001517764,0.0,7.58283e-05,0.0,0.0,0.0,0.0,0.0002901262,0.0,0.0,0.0,1.728e-07,2.03817e-05,3.88e-07,2.09495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004160152,0.0,5e-10,0.0,0.0,0.0,6.3643e-06,1.009e-07,0.0001308269,0.0002087773,4.75254e-05,1.009e-07,0.0,0.0,0.0,8.7123e-06,3.88e-07,0.0
Cresselia,1.81e-08,0.0201078373,1.4648205017,0.0193059573,0.0,0.0,0.0,6.2e-09,0.0564880989,0.0,0.0002341643,0.0002688523,0.0083271725,0.0,0.0,0.0,4.1348485333,0.0,0.0054867806,0.0012127302,1.1886e-06,0.0,0.0009298804,0.0011793938,0.2878941986,1.2e-09,0.0396958138,0.0,7.3782e-06,0.6972481866,4.7606e-06,0.0011164621,0.0078587252,0.0011795006,15.9003651508,25.3154809267,0.1115575362,0.0020405966,0.0019584675,31.9908304081,0.5158613689,0.0004296095,0.0,0.0014848566,0.0499277762,0.0002152956,0.0,0.6364535579,0.6726620369,0.0,1e-10,5.44098e-05,0.0642513952,7.3816e-06,0.0,0.0,0.0076239881,0.0007713103,0.0,0.279263177,0.0201104928,2.52888477,0.0001743529,0.0001281937,0.0001506106,3.614e-07,0.0001515224,1.2734e-06,0.0,0.0006052356,4.295e-07,2.51612e-05,0.0003337127,0.0021159882,0.0011034328,0.010810218,0.0,6.01e-08,0.1166031052,8.327e-07,22.7327770199,7.3702708622,0.0008075599,0.0370723548,3.3e-09,0.0,3e-09,0.0019714445,0.0450668945,0.0,0.0095590702,1.9614184878,6.56768e-05,0.0,6.133e-07,0.0324901202,1.215061798,0.0,0.0,1.45e-08,0.0096889478,0.0096417445,0.8856438957,0.4565629525,0.0421319507,3.3e-09,0.0002341643,0.0,0.0189889115,3.60412e-05,0.000239743,0.0019511504,0.0,1.0979447036,4.2508983126,0.0330130911,0.0201093719,6.5874e-06,28.3844155346,0.001204555,3.87349e-05,0.1426207803,1e-10,21.4402604412,6.17e-08,0.0,2.221273695,0.0002560086,0.0002571449,0.0002393562,0.0084756196,0.2869770208,0.0076239966,0.0281753822,0.0023771728,1.2e-09,1.2e-08,1.1316802637,0.0103554737,0.0273591604,0.0,0.0,0.0103130629,0.0037975211,0.0,0.0010031744,6.58e-08,0.7539559272,1.0282484979,0.6964155054,0.0,0.0,9.17998e-05,0.0058586024,0.0,0.0,6.3928615958,0.0,0.0092688203,0.0003656309,4.8798910915,0.0,0.3231183597,0.5037031548,9.002e-07,0.0002897593,2.0508735226,1.02963e-05,25.5650724977,0.7652767313,1.1954734847,0.0,1.2096012383,0.0074782526,0.1593046403,3.734e-07,0.002114335,1.437e-07,1e-08,9.567e-07,0.0,0.0060367968,0.0069087481,7.796e-07,0.0,2.5475e-06,0.0,0.0,6.1843807181,0.0,2.4828e-06,1.6984458779,6.24e-08,0.0001915869,6.193e-07,14.9422805069,8.328e-07,0.2066612888,1.06725e-05,0.0,6.2303e-06,0.0251473532,3.4808796922,0.0,0.0028628176,0.0007296721,0.0,0.0183716127,14.0817820797,0.0006232345,0.0,2.422e-06,6.44e-08,0.1280338852,0.0,4.2532323709,1e-10,0.0019372551,0.0,1.9e-09
Tangela,0.0,0.0004880873,0.0,0.0,0.0,3.19118e-05,0.0,0.0,1.53e-08,0.0,0.0,1.41e-08,0.0,2e-10,0.0,0.0,0.0,0.0,1.71705e-05,1e-10,0.0,3.31206e-05,0.0,0.0,0.0,1.6487e-06,8.822e-07,0.0,0.0,1.7e-09,0.0025623648,0.0,0.0003383562,0.0,0.0,0.0036281033,0.0,2.8e-09,0.0,0.0028398264,1e-10,0.0025623648,0.0,0.0,0.0,0.0,0.0,6e-10,0.0,7.076e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018844011,0.0,0.0,1.66e-08,1.651e-06,0.0,0.0,0.0,0.0,0.0,1.2232e-06,0.0,1.13e-08,0.0,6e-10,2.8e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002774922,0.0,0.0,0.0,0.0,0.0,7.768e-07,0.0003699289,0.0,0.0,0.0,0.0002574451,0.0,6.4915e-06,0.0,0.0,1.6488e-06,0.0,0.0,0.0002709656,1.5e-09,0.0,9.9346e-06,0.0,0.0,0.0,0.0,3.32215e-05,0.0018844018,1e-10,2.01e-08,0.0,0.0,0.0,0.0005941412,2.2e-09,0.0,2.12e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.822e-07,0.0,0.0,0.0,0.0,0.0,8.822e-07,1.75087e-05,1.5e-09,0.0,0.0035961915,1.66e-08,0.0,2.12e-08,3.405e-07,0.0,0.0,0.0002567262,0.0,0.0,1e-10,0.0,0.0002781691,1.71683e-05,0.0002675482,0.0,1.52e-08,1e-10,0.0035961915,0.0,0.0,6.4774e-06,0.0,0.0,0.0,0.0,3.406e-07,2.8e-09,3.19118e-05,0.0,0.0,0.0,0.0,0.0,1.71682e-05,0.0,0.0036026689,0.0,0.0002567262,0.0,4.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002567262,0.0018844011,1.66e-08,0.0,0.0,0.0,3.406e-07,0.0,0.0,0.0,0.0035961915,0.0,0.0,0.0025623648,0.0,6e-10,0.0,0.0,2.12e-08,0.0,1.9e-09,0.0,0.0,0.0,1.53e-08,3.35606e-05,0.0,0.0,0.0,0.0003374842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4774e-06
