,Porygon-Z,Mandibuzz,Weezing,Bronzong,Volcarona,Raichu-Alola,Thundurus,Toxicroak,Snorlax,Vanilluxe,Barraskewda,Mimikyu,Poliwrath,Machamp,Tornadus,Cresselia,Xurkitree,Mew,Blaziken,Diggersby,Weezing-Galar,Absol,Garchomp,Pincurchin,Slurpuff,Comfey,Ferrothorn,Eldegoss,Zapdos-Galar,Kommo-o,Darmanitan,Milotic,Ditto,Aerodactyl,Marowak-Alola,Toxapex,Dhelmise,Latias,Landorus-Therian,Bisharp,Toxtricity,Krookodile,Lucario,Steelix,Aurorus,Frosmoth,Nidoqueen,Regidrago,Sharpedo,Goodra,Scolipede,Aggron,Slowbro,Heliolisk,Diglett-Alola,Omastar,Pyukumuku,Victini,Venusaur,Diancie,Magnezone,Blastoise,Latios,Durant,Tapu Bulu,Incineroar,Moltres-Galar,Araquanid,Moltres,Cloyster,Klefki,Togekiss,Dracozolt,Salamence,Arctozolt,Metagross,Haxorus,Porygon2,Melmetal,Crawdaunt,Crobat,Mamoswine,Trubbish,Druddigon,Corsola-Galar,Chansey,Celesteela,Hippowdon,Centiskorch,Blissey,Slowbro-Galar,Politoed,Guzzlord,Buzzwole,Sylveon,Lanturn,Cramorant,Amoonguss,Urshifu-Rapid-Strike,Seismitoad,Electivire,Blacephalon,Rotom-Wash,Pelipper,Avalugg,Talonflame,Umbreon,Alakazam,Dragalge,Heracross,Rhyperior,Togedemaru,Quagsire,Jolteon,Stunfisk-Galar,Dragonite,Zarude,Gyarados,Zygarde-10%,Turtonator,Vaporeon,Chandelure,Arcanine,Reuniclus,Ribombee,Heatran,Barbaracle,Tyrantrum,Dragapult,Terrakion,Rhydon,Gardevoir,Regieleki,Conkeldurr,Slowking,Drampa,Rotom-Mow,Audino,Hawlucha,Sandslash-Alola,Drapion,Torkoal,Excadrill,Polteageist,Bewear,Whimsicott,Starmie,Grimmsnarl,Arctovish,Tentacruel,Rotom-Frost,Zeraora,Gengar,Swampert,Corviknight,Bouffalant,Tapu Fini,Hydreigon,Primarina,Necrozma,Golurk,Suicune,Indeedee,Scizor,Nidoking,Zapdos,Cobalion,Rillaboom,Keldeo,Raikou,Tapu Lele,Gastrodon,Tapu Koko,Thundurus-Therian,Weavile,Glastrier,Tornadus-Therian,Gigalith,Volcanion,Tyranitar,Aegislash,Noivern,Registeel,Cursola,Xatu,Nihilego,Charizard,Pikachu,Zoroark,Salazzle,Jynx,Shuckle,Galvantula,Gallade,Crustle,Clefable,Sigilyph,Jellicent,Shiftry,Stakataka,Mienshao,Ninetales-Alola,Claydol,Clawitzer,Hatterene,Rotom-Heat,Malamar,Entei,Tangrowth,Lycanroc-Dusk,Espeon,Vikavolt,Ninetales,Kartana,Azumarill,Jirachi,Inteleon,Slowking-Galar,Golisopod,Shedinja,Azelf,Tsareena,Skarmory,Flygon,Altaria,Hitmontop,Drednaw,Obstagoon,Kingdra
Mr. Mime-Galar,0.0,2.7e-09,0.0,3.5066e-06,0.000177619,0.0,9.701e-07,3.5066e-06,0.0,6.2569e-06,0.0001204796,0.0,0.0,0.0,0.0,2.892e-07,0.0,0.0,9.701e-07,0.0,2.6219e-06,0.0,0.057423225,0.0,0.0,0.0,2.96661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-09,0.0,0.0,1.4597e-05,4.1068e-06,0.023175562,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.507e-05,0.0,0.0,0.0,7e-10,0.0,0.0,0.0,0.0,2.892e-07,0.0,0.0,1.12e-08,1e-09,0.0,0.0,3.015e-07,0.0,0.0,4.73794e-05,4.73712e-05,0.0,0.0,0.0,3.48e-08,0.0,0.0,0.0,0.0,3.48e-08,0.0,0.0,9e-10,0.0,0.0,0.0,3.5066e-06,0.0,2.96651e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231729401,0.0,9.708e-07,0.0,0.0,0.0,0.0,0.0,9e-10,8.6e-09,0.080403476,0.0,7.7e-09,9.701e-07,0.0,8.5e-09,3.48e-08,0.0572364913,0.0,0.0,0.0,0.0,0.0,0.0,2.918e-07,5.958e-06,0.0,0.0,0.0,0.0001058845,0.0,0.0,9.701e-07,5.907e-07,0.0,0.0,0.000177619,0.0,0.0,0.0,0.0,0.000177619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023172948,0.0,0.0,3e-10,0.0,0.0572305455,0.0,7e-10,0.0,0.0572305352,0.0,0.0,3.5066e-06,0.0,0.0,0.0001058845,0.0,0.0,0.0,9e-10,4.73712e-05,0.0,0.0,2.7e-09,7e-10,1.04883e-05,0.0,0.0,0.0231729401,0.0,0.0,0.0,0.0,0.0,6.5488e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.000177619,0.0,3.48e-08,0.0,0.0,0.0,9e-10,0.0,0.0,0.0,0.0,3.48e-08,0.0,0.0,2.6219e-06,0.0
Eevee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3482e-06,0.0,0.0,0.0,4.08e-08,0.0,0.0,3.3482e-06,0.0,0.0,0.0,0.0,0.0,1.3076e-06,9.1e-09,1.2986e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08e-08,0.0,0.0,0.0,0.0,0.0,4.08e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2986e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.203e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.203e-06,0.0,3.3482e-06,0.0,0.0,0.0,0.0,2.203e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3482e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3482e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2986e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08e-08,0.0,0.0,0.0,9.1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torracat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.047e-07,0.0,0.0,0.0,0.0,0.0,9.71983e-05,4.9e-09,0.0,4.9e-09,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,9.71983e-05,0.0,1.87e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.047e-07,0.0,0.0,0.0,0.0002936298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002936347,8.69e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71983e-05,0.0,0.0,0.0,8.69e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002936298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-08,0.0,0.0,0.0002936298,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-08,0.0,0.0,0.0,4.9e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,8.69e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002936298,0.0,0.0,0.0,0.0,0.0,9.71983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poliwrath,1e-10,1.9316e-06,0.0,4.9749e-06,0.1968232681,0.0,0.0,0.0173363644,3.1609e-06,2.64909e-05,0.7973149007,7e-10,0.0,1e-10,0.0,0.0,0.0,2.5947e-05,2.96e-08,0.0,0.0,0.0,0.0008202583,0.0,0.0,0.0,0.7820223455,0.0,0.0,4e-09,5.82689e-05,0.0,8.079e-07,3.068e-07,0.0137375828,0.000304461,0.0,0.0,0.2041310961,0.0,0.0,0.0,4.6874e-06,0.0,7e-09,0.0,0.016647816,0.0,0.0,1.1e-09,0.0,0.0,0.0,8.035e-07,0.0,1.439e-07,0.0,0.0,0.0104372296,0.0,0.1968234249,4.082e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-09,0.0003756015,7.17e-08,1.99223e-05,0.0002819352,6.58e-08,4.2881e-06,0.0025228102,1e-10,1.4264e-05,0.0,0.0,7e-10,0.0,3.55e-08,0.0,1.133e-07,0.0133181289,4.9186e-06,7.15e-08,1.2e-09,0.0042948101,0.0179466343,0.0,0.0,0.0,0.0,0.0,0.0137379515,0.0,0.7565961283,0.0,6.801e-06,3.1568e-06,0.8359207519,4.2881e-06,0.0,0.0001414896,2.8313e-06,0.0028866679,2.96e-08,0.0,0.0,0.0003207137,2.35e-06,1.47614e-05,0.0290367954,5.06225e-05,2.89e-06,0.0,0.0,2.4319e-06,6.58e-08,0.0,0.0,0.0054183938,0.0157240848,0.0,0.0,1.33155e-05,0.0,0.0,2e-10,0.0003227297,7e-10,0.0028866679,0.0,7.17e-08,0.0,0.0027402639,0.0,0.0,7.1e-09,0.0519979634,4.082e-07,0.0,5.02525e-05,1.69328e-05,0.0044045067,0.0,0.0126756643,0.0,5.86e-08,0.0132570782,3.1331e-05,0.0001434921,0.0,0.0,4.29e-06,7e-10,1.99488e-05,0.0,0.0,0.0,0.000243651,3.83003e-05,0.8432704824,0.0,4.9183e-06,1.9316e-06,1.1366e-06,0.0189344706,0.0002575648,6.9573e-06,0.0186653181,0.2011380081,0.0,0.0317860939,1.69e-08,0.0001544913,0.054889551,0.0047345149,1.1e-09,0.0,0.0,0.0,0.0,2.6751e-06,3.139e-07,0.0,0.0,0.0,3.55e-08,0.0,4.6874e-06,0.0,0.2593313867,0.0,0.0,0.0,0.0,4.6579e-06,0.0,0.0,0.0,0.0,3.50622e-05,0.0,0.0,2.349e-06,0.0094415954,2.481e-07,0.0,0.0,0.0,0.0003741751,1.1385e-06,0.0,0.0047345149,0.0,3.8233e-06,0.0078996951,0.0,0.0548846314,6.58e-08,0.0,1e-10,0.0,0.0,0.0377805461
Emolga,2.7505e-05,5.9e-09,0.0,0.0,1.9273e-06,4.86e-07,1e-10,1e-10,2.7505e-05,0.0,0.0013010023,4.84e-07,0.0,0.0001250355,0.0,0.0,0.0,0.0,2.8668e-06,0.0,0.0001250355,0.0,0.0014948101,2e-10,4.013e-07,0.0,2.877e-06,0.0,0.0,0.0,3.9631e-06,0.0,2.0358e-06,0.0,5.61e-08,2.0358e-06,0.0,0.0,6.5477e-06,6e-10,0.0,4.013e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.668e-06,1.4942e-06,1e-10,0.0,0.0,2e-10,3.806e-07,1.3096e-05,0.0,2.94323e-05,0.0,0.0001262507,0.0,0.0,0.0,0.0,0.0,0.0,5.61e-08,4.013e-07,0.0,0.0,3.11789e-05,1e-10,1e-10,0.0014984781,0.0,0.000126261,1.4936e-06,0.0,0.0,0.0,0.0001759155,2e-10,0.0,0.0,6e-10,0.0,9.26945e-05,0.0,0.0,0.0,9.26945e-05,7.817e-07,1e-10,0.0,0.0012210108,0.0,0.0,0.0001759156,0.0,1e-10,2.219e-07,0.0,1.9273e-06,6.3309e-06,9.26945e-05,0.0,0.0,0.0012341068,2e-09,0.0,0.0,0.0,0.0014948101,0.0,0.0,0.0,0.0,0.0001250355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90254e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-09,0.0,0.0,6.2e-08,0.0,0.0,0.0012341068,0.0014963043,0.0,9.26945e-05,0.0,2.8668e-06,2.9229e-06,0.0,0.0001262507,0.0,0.0,9.31543e-05,0.0,5.9e-09,0.0,0.0,0.0016235136,0.0,0.0,0.0,0.0,0.0,6.68956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9273e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0001262507,0.0,0.0,3.805e-07,0.0,0.0,0.0,0.0,4.862e-07,1.8e-09,1.803e-07,0.0,0.0,1e-10,0.0,0.0,6.70758e-05,3.65e-08,0.0,0.0,0.0,0.0,0.0,2.0358e-06,0.0,0.0,0.0,0.0,0.0,0.0001763168,0.0,0.0,0.0,1.4936e-06,0.0,2.116e-07,6.6733e-06,0.0,0.0,0.0001262507,0.0,0.0,6.81417e-05,0.0012341073,1e-10,0.0,6.5112e-06,0.0,0.0,1.02e-08
Butterfree,0.0001416365,0.0004190672,0.0,1.9415e-05,0.0169260607,0.0010327865,0.0,0.0,0.001076708,0.0,6.7631e-06,0.0009364233,0.0,0.0002865846,0.0,5.47915e-05,6.575e-07,0.0007590592,0.0007835004,0.0009240641,0.0,1e-10,0.0001668208,0.0,3.9e-09,3.8e-09,0.0027393996,6.78e-08,0.0,1.69e-08,6.83e-08,7e-10,0.0031727746,0.0001158538,0.0,0.0013511275,0.0,0.0,0.0008442651,3.37115e-05,7.40059e-05,0.0,0.0001407729,5.21e-08,0.0,0.0163049479,6.96965e-05,0.0,0.0001237833,1.71e-08,7.52e-05,1.5348e-06,0.0004251144,0.0001147516,0.0,1.7474e-06,0.0184195313,2.59e-08,0.0010921362,0.0,0.0011796968,0.0011070577,0.0,9.04e-08,0.0005714367,6.59061e-05,0.0002943969,1.11445e-05,0.0,0.0012455138,0.0021653333,0.0001656724,6e-10,0.0,3.0161e-05,1.17274e-05,0.0,0.0053525405,0.000415724,0.0,2.8642e-06,1.98e-08,0.0,0.0,0.0003247367,0.001437662,0.0009251083,0.0,6.64e-08,0.0006274034,1.27143e-05,0.0001092692,0.0,0.0163421825,6e-10,5e-10,0.0,0.0003930718,0.0001227539,0.0018478033,0.0,0.0169948237,3.3544e-06,0.0078691989,0.0,0.0,0.0066047624,2e-10,0.0,2.89e-08,0.0,2.404e-07,6.91816e-05,0.0,0.0,0.0001285852,2.85015e-05,0.0001765892,0.0,0.0,0.0,0.0052058533,0.0001171392,0.0014039573,0.0163030659,8.77797e-05,1e-10,0.0,0.0016176492,0.0,0.0081560205,8.1e-09,1.8557e-06,1e-10,0.0,0.0,0.0,3.0885e-06,0.0020762301,0.0,2.75e-08,5.47945e-05,0.0052109203,0.0,0.0008074501,3.38152e-05,0.0001147516,2.78329e-05,0.0,0.0004319042,0.0,0.0003930385,0.0007865487,0.0,0.0001465422,0.0,3.24542e-05,3.5507e-06,3.5485e-05,2.85052e-05,0.0,4.19172e-05,0.0,0.0163069056,1.16419e-05,0.0004318526,0.0,0.0022172204,0.0,1.71e-08,0.0004130117,0.0,0.0005928473,0.0001167074,4.17793e-05,0.0,7.39319e-05,5.0671e-06,0.0,0.0,4.95836e-05,1.30246e-05,0.0,0.0,0.0,0.0,0.0020920551,0.0306952819,0.000381757,9.04e-08,5e-10,0.001447792,0.0003901292,0.0,0.0006937251,0.0001604906,0.0003817742,1.13147e-05,1.3e-09,6.576e-07,0.0,0.0015820732,0.0,0.0,4.19172e-05,0.0,3.034e-07,0.0,7.39208e-05,0.0005714367,0.0,9.682e-07,1.49261e-05,1.3131e-06,0.033254616,0.0015813176,3.7e-09,4.8e-09,1.052e-07,0.0021238323,0.0,0.0,0.0005784127,1.4005e-06,0.0003397825,3.17433e-05,5.75429e-05,6e-10,0.0
Tornadus,0.0,0.0,0.0,0.0,0.0,0.0,3.1859e-06,0.0,0.0,0.0,0.0010304337,5e-09,0.0,0.0,0.0,0.0,0.0,10.1389663068,0.0004167415,13.0723117523,0.0,0.0,0.1007498827,1.65e-08,1.65e-08,0.0,0.0013079797,0.0,0.0,0.0,0.0229101756,0.0,6.44733e-05,0.0,8.2457e-06,1.39839e-05,0.0,0.0112895395,0.079659503,0.0104348058,0.0,0.0002512237,1.61012e-05,0.0,0.0,0.0,0.0,0.4336969978,0.0,2e-10,0.0229101639,0.0,0.0288742887,0.0,0.0,0.0,0.0,0.0,7.677e-07,0.0001647034,6.44733e-05,9.476e-07,1.17e-08,0.0,0.0,3.1223e-05,0.0,1.8867e-06,0.0,0.001130701,3.812e-07,0.0,0.0104501435,2.984e-07,0.0,1.1325e-05,0.0,1.615e-07,12.6101367114,0.0,0.0,2e-10,0.0,0.0,0.0,5e-09,0.0002606523,1.5055e-06,1.61012e-05,0.0002499234,0.0,1.91445e-05,0.0,0.0001567477,0.0009341268,0.0,0.0,1.92205e-05,9.8275385976,0.0010197037,0.0,10.1397780809,0.0109301846,0.1016464585,0.0,0.0,0.0012370547,0.0,0.0,7.6e-08,0.0,0.0,0.0,0.0,0.0,0.0060388231,0.0002594398,0.000302928,0.0,0.0,0.0,0.0,0.0002499222,0.0,9.562e-07,0.6720672396,1.5055e-06,0.0009341268,13.0663708045,0.0,0.0,2.25269e-05,0.0002976311,0.0229101639,0.0,1.243e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.40523e-05,2.47e-08,0.0,23.2214038765,0.0,0.0,0.0,0.0002499222,0.0,0.0286541149,0.0,0.0001246721,2.049e-07,0.0,0.0229267156,0.0,8.1e-09,0.0,0.0,0.0,0.0,0.0109517073,2.75592e-05,2.20309e-05,0.0109298696,0.0001488495,0.0,0.0,13.5060732117,0.0007327173,0.0007327173,0.1015472651,0.0008564547,0.0,0.0,0.0,0.0306902712,0.0418941215,1.72417e-05,0.0,0.0,0.0,0.0,0.0,6.2328e-06,0.0,0.0,1.3015e-06,0.0,0.0,8.2457e-06,0.0,0.0,0.0,0.0,1.61012e-05,0.0,0.0,0.0,8.2457e-06,0.0,1.72417e-05,0.0,0.0001239044,0.0,2.984e-07,0.0,0.0,0.0,9.476e-07,0.0,9.7448014311,1.91445e-05,2.18458e-05,8.2457e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.1e-09,0.0,0.0,0.0,0.0,0.0
Wobbuffet,1.6996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38e-08,0.0,0.0,1.0167e-06,0.0,1.044e-07,0.0,0.0,0.0,0.0065525331,6.7792e-06,0.0,0.0,0.0,0.0494963883,0.0,0.0,0.0,0.0504345021,0.0,0.0,1.9e-09,0.0,2.256e-07,2.84927e-05,0.0,0.0,0.0564681131,0.0,0.0,3.6026e-06,0.0,0.0,0.0,1.1e-09,1.044e-07,0.0,0.0,0.0,0.0,7.7918e-06,0.0065523725,0.0,2.256e-07,0.0,0.0,0.0,0.0,1.2e-09,0.0,0.0,0.0,1.2e-09,1e-10,1.6996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0060319732,0.0,0.0019810693,0.0,0.0,0.0,0.0,0.0,0.0,0.0065523735,0.0,1.044e-07,0.0033002557,0.0,0.0,0.0,0.0009415826,0.0,0.0003196331,0.0,0.0514742261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,1e-10,2.83564e-05,0.0,1e-10,0.0,0.0,2.2e-09,2.6e-09,0.0,6.7786e-06,0.0,0.0,0.0,0.0,0.0,2.48109e-05,0.0,0.0007505113,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,1.94e-08,0.0,0.0,0.0065523725,0.0,0.0,2.6e-09,3.5456e-06,0.0,2.256e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-09,0.0,0.0,2e-10,2.8e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.75236e-05,6.7774e-06,1.94e-08,0.0,0.0,2.6e-09,0.0,0.0,1e-10,0.0,0.0,0.001982767,0.0,0.0,0.0,1.6996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71e-08,2.48109e-05,0.0,0.0065523725,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-09,3.74214e-05,3.6816e-06,1.38e-08,0.0,2.613e-07,0.0,0.0,0.0,0.0009415573,0.0,0.0,0.0,0.0,0.0,3.5465e-06,0.0,0.0,0.0535437485,0.0,0.0,0.0,0.0037312726,9e-10,0.0,0.0,2.8e-09,1.9e-09,0.0,1.9e-09,0.0,0.0,0.0,3.9592e-06,0.0,0.0,0.0009674082,0.0,0.0,3.6816e-06,0.0,0.0,0.0
Cresselia,7.38849e-05,16.344162423,0.0,0.1053995626,1.0183614534,0.0,0.0001376639,0.0,0.0312111903,0.0,0.0011712673,0.0086853506,0.0,1.92383e-05,0.0,0.0,1.871564752,0.000492881,0.0004344814,0.0001630378,0.0,2.86e-08,1.6017382938,0.0,0.0001372842,0.0,0.0192090444,0.0,0.0075738506,1.92383e-05,0.0,2.54551e-05,4.62173e-05,0.0,18.0821113616,52.3975660871,0.3809802488,0.0,1.0175759264,0.0820256742,6.2141e-06,0.0,0.0,0.0,0.0,0.0,0.0725898668,0.5744446837,0.0,0.0006382539,0.0,0.1124097396,0.1083280723,0.0,0.0,0.0,0.0,1.0222131623,0.5237902856,0.0267399844,0.3165742906,0.000639074,1.133e-07,2e-09,4.058e-07,0.000469003,0.0058505049,0.0010447194,0.0109638258,1.0081701902,0.0257955268,0.0004013966,0.0005579221,2.86e-08,0.0001456432,2.09678e-05,2.796e-07,17.6422005797,19.5499241442,14.8012171177,6.665e-07,8.22e-07,0.0,2.6936e-06,7.73e-08,0.0186006946,4.976e-06,9.6216e-06,0.0,5.315261062,0.0129358268,0.0,0.0003507483,18.5644321338,0.0,0.0,0.0,0.0001297042,0.0097552631,5.526e-07,0.0,0.0174231618,0.0257959023,2.08371e-05,2.797e-07,0.0433806881,0.4190185358,7.449e-07,1.8677391128,8.3e-09,3.1459e-06,1.774e-07,50.4367154968,0.0,0.0,0.4273778771,0.0006379836,6.296e-07,0.0003812862,0.0,0.0,3.97788e-05,1.7278e-06,0.3991202577,0.0,3.1027377395,0.0,0.0,0.0033889429,5.134e-07,0.0,0.0,0.1161923058,0.2616857394,0.0032985364,0.3054717284,0.0,6.2141e-06,9.61231e-05,2.892e-07,0.0812006378,1.8491176459,7.0999e-06,7.083e-07,0.0,2.973e-07,0.0004341702,0.0004003828,8.025e-07,0.0,0.0,1.0753512588,0.0053431834,0.0013580908,5.6031295166,0.0032947834,0.0101347419,0.5163797148,0.000979349,0.5698021164,0.1648110367,1.4719684161,2.144e-07,0.006468476,3.4e-09,27.8804171629,0.0,0.0024826821,2.1e-09,0.0003771435,0.1809155167,1.1416773297,0.4211403501,0.0,0.0034288937,0.067723821,2.1599753711,0.0,2.2117017014,1.5975298712,6.4769e-06,0.0,1.0106058561,1.8691503239,0.0013898506,0.0,5.47936e-05,2.289e-07,0.0006382539,8.481e-07,0.0,5.5e-09,0.0001698548,0.0,0.0,51.8442158745,2.2451066085,2.217e-07,0.0,2.8755479286,0.0433803313,0.0130876378,0.0,5.32e-07,17.8276355595,8.223e-07,0.0,0.0124384248,0.2253579351,5.52e-08,5e-10,0.2284823556,5.4241e-06,0.4142638316,0.1645442119,0.0,0.0,0.1082022019,5.52e-08,0.0,1.9234e-06,0.0,27.6905179316,0.0,0.0,3.143e-07,0.0,0.0292088695,0.0
Tangela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008861464,0.0,0.0,8.5e-09,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125308306,0.0,0.0,0.0123010523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07772e-05,0.0,0.0,0.0,0.0,0.0,3.641e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71e-08,0.0,0.0,0.0,6e-10,0.0,2.6e-09,1e-10,0.0,1e-10,0.0,0.0,0.0,0.0,2.07772e-05,2.07772e-05,0.0,0.0,0.0123010523,0.0,0.0,0.0,0.0123010523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0008861464,0.0,0.0,2.07778e-05,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.63e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.545e-07,0.0,5.545e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001136755,0.0,0.0,0.0,0.0,9.52978e-05,0.0,0.0,2.6e-09,0.0,0.0,6.15e-08,0.0,0.0,0.0,0.0,0.0,0.0008861464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123010608,0.0001136755,0.0,0.0,0.0,0.0,0.0,2.6e-09,0.0008861464,0.0,5.545e-07,0.0002090005,2.2258e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.641e-07,0.0,0.0,0.0,0.0,0.0,6e-10,0.0,0.0,8.5e-09,0.0,2.2258e-06,0.0,0.0,9.52979e-05,0.0,6e-10,0.0,0.0001136755,0.0,0.0,0.0,2.71e-08,0.0,5.545e-07,0.0,3.641e-07,5.545e-07,0.0,0.0008861464,6.15e-08,9.53249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15e-08,0.0
