,Porygon-Z,Mandibuzz,Weezing,Swoobat,Volcarona,Raichu-Alola,Thundurus,Spiritomb,Snorlax,Kangaskhan,Barraskewda,Mimikyu,Togekiss,Lurantis,Tyrantrum,Cresselia,Xurkitree,Mew,Blaziken,Diggersby,Weezing-Galar,Articuno-Galar,Garchomp,Boltund,Slurpuff,Ferrothorn,Cursola,Zapdos-Galar,Kommo-o,Milotic,Ditto,Aerodactyl,Marowak-Alola,Toxapex,Dhelmise,Latias,Landorus-Therian,Lapras,Bisharp,Toxtricity,Vanilluxe,Lucario,Steelix,Aurorus,Mantine,Frosmoth,Nidoqueen,Cinccino,Regidrago,Sharpedo,Scolipede,Aggron,Slowbro,Sandslash,Arcanine,Omastar,Pyukumuku,Zarude,Victini,Venusaur,Heliolisk,Rhyperior,Latios,Durant,Tapu Bulu,Incineroar,Moltres-Galar,Araquanid,Moltres,Cloyster,Klefki,Obstagoon,Raikou,Salamence,Arctozolt,Metagross,Haxorus,Vikavolt,Glaceon,Wigglytuff,Porygon2,Melmetal,Crawdaunt,Crobat,Mamoswine,Goodra,Dusknoir,Starmie,Chansey,Celesteela,Hippowdon,Centiskorch,Perrserker,Blissey,Slowbro-Galar,Politoed,Guzzlord,Kabutops,Buzzwole,Exploud,Sylveon,Decidueye,Lanturn,Amoonguss,Urshifu-Rapid-Strike,Seismitoad,Linoone,Blacephalon,Rotom-Wash,Pelipper,Avalugg,Scyther,Silvally-Fairy,Umbreon,Alakazam,Dragalge,Heracross,Blastoise,Pangoro,Quagsire,Jolteon,Grapploct,Dragonite,Darmanitan,Gyarados,Zygarde-10%,Vaporeon,Chandelure,Reuniclus,Ribombee,Heatran,Druddigon,Dragapult,Terrakion,Gardevoir,Regieleki,Conkeldurr,Slowking,Drampa,Audino,Hawlucha,Mudsdale,Roserade,Drapion,Torkoal,Excadrill,Polteageist,Bewear,Whimsicott,Grimmsnarl,Krookodile,Arctovish,Tentacruel,Kingler,Zeraora,Gengar,Swampert,Corviknight,Tapu Fini,Sableye,Slowking-Galar,Primarina,Necrozma,Golurk,Suicune,Scizor,Nidoking,Zapdos,Ninjask,Cobalion,Rillaboom,Keldeo,Dracozolt,Tapu Lele,Gastrodon,Tapu Koko,Thundurus-Therian,Weavile,Glastrier,Copperajah,Tornadus-Therian,Gigalith,Volcanion,Tyranitar,Aegislash,Noivern,Registeel,Xatu,Nihilego,Sceptile,Indeedee-F,Charizard,Zoroark,Salazzle,Shuckle,Galvantula,Abomasnow,Dugtrio,Clefable,Jellicent,Shiftry,Stakataka,Mienshao,Ninetales-Alola,Ludicolo,Claydol,Clawitzer,Hatterene,Rotom-Heat,Escavalier,Dugtrio-Alola,Entei,Tangrowth,Lycanroc-Dusk,Magnezone,Armaldo,Espeon,Diancie,Ninetales,Kartana,Azumarill,Runerigus,Jirachi,Dusclops,Inteleon,Hydreigon,Golisopod,Shedinja,Mr. Rime,Azelf,Gallade,Skarmory,Exeggutor-Alola,Flygon,Hitmontop,Kingdra
Mr. Mime-Galar,0.0,9e-10,0.0,0.0,8.93e-08,0.0,0.0,0.0,1.81509e-05,0.0,9.227e-07,0.0,0.0,0.0,0.0,0.0,9e-10,0.0011585899,0.0,0.0,0.0,0.0,0.0039234295,0.0,0.0,1.1436e-06,0.0,1.80418e-05,0.0,0.0,0.0,5.47e-07,0.0,0.0001035825,0.0,0.0039234295,0.0011599699,0.0,0.0011580429,0.0,6.532e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011580429,0.0,0.0,0.0,4.877e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003240355,0.0,0.0,8.93e-08,0.0,0.0,0.0,0.0,7.049e-07,0.0,0.0,0.0002276333,0.0,0.0,1.091e-07,9.227e-07,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038148236,0.0,0.0,9e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6824e-06,0.0,1e-10,9.227e-07,0.0,0.0,0.0,0.0,0.0,4.72e-08,0.0003240355,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,1.80418e-05,0.0,0.0,0.0,9e-10,0.0,0.0,8.93e-08,0.0011590381,0.0,0.0039414714,0.0,0.0,9.89e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47e-07,0.0,0.0,0.0,0.0,0.0,0.0003308373,0.0,0.0,0.0,0.0,4.877e-07,0.0,0.0,0.0003307281,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0025970797,0.0,1.7341e-06,0.0,0.0,2.6523e-06,0.0,0.0,0.0,0.0,1.80418e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.72e-08,0.0,0.0,0.0013263499,0.0,0.0,6.532e-07,0.0,0.0,0.0,0.0,0.0,5.471e-07,0.0,0.0,0.0,0.0003247745,0.0,0.0,0.0,0.0001040175,0.0003240872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.434e-07,0.0,1e-10,0.0,0.0,0.0,2e-10,0.0,0.0,1e-10,0.0
Buneary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9e-09,0.0,9.14e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2126e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9e-09,2.2126e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9e-09,0.0
Eevee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1387e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,3.933e-07,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,5.1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933e-07,0.0,0.0094256137,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935e-07,0.0,0.0,0.0,2.4671e-06,3.933e-07,0.0,0.0,0.0094231516,0.0,0.0,0.0094231566,0.0,0.0094231516,0.0,0.0,0.0,2.4621e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,3.1387e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933e-07,0.0,2.4621e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poliwrath,0.0,4.95e-08,0.0074384953,0.0,2.3048e-06,0.0,0.0,0.0,0.0008777252,0.0,0.0089064193,0.0,1.48347e-05,0.0,0.0,0.0,0.0,0.0,0.0023254151,0.0,0.0,0.0,0.0043598575,0.0,0.0,0.0168810813,0.0,0.0,0.0001521349,1.34494e-05,1.70163e-05,1.3502e-05,1.9254e-06,0.0,0.0,0.0,0.0078282003,0.0,0.0,0.0,0.0,0.0023250612,0.0,0.0,0.0,1.32824e-05,0.0,0.0,0.0,2e-10,0.0003537262,1.36358e-05,0.0,0.0,0.0,0.0,5.0375e-06,0.0015830192,0.0,2.77875e-05,1.48347e-05,3.5067e-06,0.0,0.0,0.0,3.492e-06,0.0,7.093e-07,0.0,2.8134e-06,0.0,2.65895e-05,1.64e-08,0.0001260313,1.3602e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001260307,1.64e-08,0.0,2.819e-07,6.15026e-05,0.0,0.0001689609,0.0096340486,0.0001555349,0.0004608474,0.0,0.0,0.0004604934,0.0001521349,0.0088615271,0.0,1.3165e-05,0.0015830355,0.0,0.0,0.0,0.0,0.0096340486,0.0,0.0004119677,0.0001521349,0.0,4.16108e-05,0.0070525661,5.0375e-06,0.0,0.0,0.0002486727,3.694e-06,0.0,0.0023250612,8.47787e-05,0.0,1.68653e-05,0.0008626728,0.0,0.0022810612,1.54e-08,1.5995e-06,0.0,1.33e-08,0.0,0.0,3.8512e-06,6.39154e-05,0.0,0.0074930981,0.0,7e-10,0.00744941,7e-10,1.3672e-06,0.0,0.0096340486,0.0,4.2854e-06,2.23041e-05,0.0,0.0,1.9256e-06,0.0043414267,0.0002220272,0.0,0.0009578946,1.48347e-05,0.0,0.0,0.0,0.0,3.4913e-06,4.2988e-06,0.0004604934,0.0,0.0096340486,0.0015830191,4.74e-08,0.0009613859,0.0,0.0,1.48688e-05,0.0,0.0006755726,0.0,0.0,1.80768e-05,0.0,0.0001555115,0.0,9.06837e-05,0.0043708492,0.0087954094,0.0009696792,0.0,0.0,0.0083772438,5.0375e-06,0.0004474833,1.435e-06,0.0,0.0,0.0,0.0096340486,0.0,0.0,0.0,0.0001521349,4e-10,0.0,9.06837e-05,3e-10,0.0,0.0,0.0005836689,0.0,0.0,0.0,0.0,3.6776e-05,0.0015830192,1.1e-09,0.0,2.23041e-05,0.0,0.0,0.0,0.0,0.000227721,0.0,0.0043439319,5.45563e-05,1.42087e-05,0.0,0.0008626728,2.45e-08,0.0001655844,0.0,1.64e-08,5.0375e-06,0.000248686,0.0,4.2854e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002992752,0.0,0.0002964607
Emolga,0.0,0.0,0.0,0.0,4e-10,8.5e-09,0.0,1.84e-08,0.0,0.0,0.0,7.1e-09,7.3023e-06,0.0,0.0,0.0,0.0,0.0,3.16e-08,0.0,0.0,0.0,6.115e-07,2.1e-09,4e-10,4.2e-09,0.0,0.0,0.0,3e-10,0.0,0.0,0.0001251386,4.2e-09,0.0,3e-10,2.05e-08,0.0001251386,3.16e-08,0.0,0.0,0.0,0.0,2.25766e-05,3.4318e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6e-09,0.0,0.0001251386,0.0,0.0,0.0,6.741e-07,1.541e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-09,7.2981e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4318e-06,6.115e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2981e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353e-07,0.0,0.0,0.0,0.0,4.8e-09,0.0,1.6e-09,0.0,0.0,0.0,7.6e-09,0.0,0.0,0.0,0.0,2.17e-08,0.0,0.0,0.0,0.0,3.16e-08,0.0,1.541e-07,0.0002801239,3.4318e-06,7.2983e-06,0.0,1.6e-09,6.115e-07,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-09,0.0,0.0,0.0,4.2e-09,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,6.115e-07,5e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-10,6.016e-07,0.0,2.25766e-05,4e-10,3e-10,0.0,0.0,0.0,0.0,0.0,2.05e-08,0.0,0.0,3.16e-08,0.0,0.0,6.712e-07,0.0,7.6e-09,0.0,4e-10,0.0,0.0,0.0,0.0,4.6e-09,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9e-09,0.0,0.0,0.0,0.0,0.0,3e-10,0.0,0.0,0.0,5.736e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.115e-07,0.0,9.3e-08,0.0,0.0,0.0,2.05e-08,0.0,6.666e-07,0.0,0.0
Butterfree,0.0,0.0,0.0067602113,2.477e-07,0.001929465,1.6e-09,0.0,0.0,3.085e-07,0.0,0.0013836484,0.0,2.4e-08,8.32353e-05,0.0,0.0,0.0,0.0493269861,0.0008395434,1.495e-07,0.0,0.0,0.0005491312,4.5e-09,5.9164e-06,0.0009293194,0.0,0.0007971553,0.0,8.7768e-06,0.0003287125,0.0003984005,0.0007949903,0.0005640507,0.0,0.0,0.0005702446,7e-10,0.0363945046,8.04596e-05,0.0,0.0,1.8e-09,0.0,1.3e-09,2.7121e-06,0.0,0.0,0.0,0.0,0.0055179129,0.0,0.0073540108,0.0,0.0,0.0,0.000232803,0.0,0.0009499111,1.6e-09,0.0,0.0002346178,8.61e-07,0.0,9.32247e-05,0.0,6.43e-08,0.0067662592,0.0005560747,0.0498788437,0.0001142042,1.79e-08,0.0,2.04e-08,0.0,1e-10,0.0,1.62811e-05,0.0,0.0,8.61e-07,0.0005560747,0.0008900951,0.0,3.37111e-05,0.0,0.0,3.9273e-06,6.8863e-06,0.001179433,0.0,0.0,0.0,0.0121312969,0.0,0.000207441,2.0477e-06,0.0009504058,0.0053846931,0.0,0.0001140189,0.0,0.0,3.55029e-05,2.68e-08,0.0004930967,0.0101316177,0.0,2.28263e-05,7.45841e-05,4.07721e-05,3e-10,0.0,0.0,3.084e-07,0.0,0.0001219801,0.0005235114,0.0,0.0012540996,0.0,0.0072816765,0.0364130808,0.0,0.0001156786,0.0003984005,3.085e-07,0.0003984012,0.0,1.49795e-05,0.0001118068,5.33e-08,0.0068105298,0.0,1.01442e-05,0.0017839516,0.0001140189,5.33e-08,0.0,0.0,0.0017803151,0.0,7e-10,0.0,0.0067542949,0.0,0.0475211957,9.32247e-05,1.6445e-06,0.0,7e-10,5.4e-08,0.0,0.0,0.0,0.0016964009,0.0,0.0357060694,4.62e-08,0.0008763028,0.0067542949,6.43e-08,7.116e-07,0.0072816455,1.1e-09,0.0001495948,0.0013196932,7.44072e-05,2.0069e-06,0.000408373,0.0479902682,0.0,0.0002325529,0.0354898904,0.0,0.0017802688,0.0,0.0003390255,3.46418e-05,9.32247e-05,1e-10,5.0375e-06,4.205e-07,0.003128392,0.0001652151,0.0,0.0,0.0030050748,0.0,2.0477e-06,0.0,6.98111e-05,1.64e-06,0.0,0.0002381945,0.0055800031,0.0,0.0,0.0003717473,0.0,5.46332e-05,0.0,0.0072816455,1.6e-09,0.0,0.0,0.0,2.11067e-05,8.046e-05,0.0,2.208e-07,0.0,0.0,9.32247e-05,0.0,0.0053719768,2e-10,4.5e-09,8.7381e-06,0.0045826221,0.0130867202,8.61e-07,0.0122434539,5.0375e-06,0.0,5.46332e-05,0.0054922967,0.0008344394,0.0,0.0830853585,0.0002325522,7e-10,0.0,0.0002277674,0.0,0.0
Tornadus,0.0,0.0,3.672e-07,0.0,0.0132176618,0.0,1.77975e-05,0.0,0.0022505122,0.0,0.0004621332,0.0,7.4e-09,0.0,0.0,0.0,0.0,0.118013649,2.62e-07,0.0,0.0,0.0,0.1181544275,0.0,0.000296897,0.0006555024,0.0,1.83e-08,0.0,1.57e-08,0.0,0.0,0.0,8.1e-09,0.0,0.0062551675,0.1094069435,0.0,0.0090583073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062556895,0.0,0.0503383132,0.0,0.0580551153,0.0,8.6154e-06,0.0,0.0,0.0,0.0062639614,0.0022505122,0.0,0.0,0.0,0.0,8.6154e-06,0.000129951,0.002250539,0.0,0.000296897,0.0,1.7795e-05,0.0,0.0,0.0001228201,3.783e-07,0.0006759978,0.0001286031,0.0,0.0,0.0,7.4e-09,0.0580718992,8.7938e-06,0.0,0.0,3.99963e-05,0.0,0.0,0.0,1.248e-07,0.0001859506,0.0,0.0,1.3e-07,0.0004799041,0.0,0.0,3.9931e-05,1.77932e-05,0.0,6.53e-08,0.0,3.916e-07,0.0001228201,0.0001353107,1.8e-09,0.0,0.0002187274,0.0003448899,4.63584e-05,0.0,0.0,0.0,0.000665872,0.0,0.0,0.0,0.0,0.0,6.55e-08,0.0,0.0,1.456e-07,0.0131985562,0.0,0.0,3.672e-07,0.0022238506,0.0,0.0,0.0803253473,0.0,0.0503487893,0.0001859506,0.0,0.0012243153,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0022559181,1.73e-08,7.5e-09,0.0,0.013198558,1.7795e-05,0.0,0.0,0.0,0.1180046605,0.0580568611,7.2e-08,9.63035e-05,9.66952e-05,0.0005755651,1.77932e-05,0.0004544591,0.0,0.0,0.0,0.0,3.9931e-05,0.1180203617,4.514e-07,8.899e-06,0.0,0.002354574,0.0,3.672e-07,0.0134795025,4.0156e-06,0.0009723277,0.0022238523,1.74e-08,0.0,0.0,0.0,0.0,0.0001860828,0.000553545,0.0503429906,0.0,8.6154e-06,0.0,0.0,0.0,0.0,5.3604e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.6775e-06,0.0,0.0,0.0,0.0,4.55e-08,6.218e-06,0.0,0.0,0.0022238506,0.0,0.0,0.0,0.0,0.0,0.0,0.0005762076,0.0,0.0,0.0,0.0,0.1371462134,0.0,0.0,0.0,4.55e-08,3e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.58e-08,0.0,8.6154e-06,0.0,3.9931e-05
Wobbuffet,2.0199e-06,0.0,0.0,0.0,2.44e-08,0.0,0.0,0.0,3.9912e-06,0.0,1.99e-08,0.0,0.0008409012,0.0,0.0,0.0,0.0,0.0007650204,0.0040601829,0.0,0.0,0.0,0.0011646828,0.0,0.0,0.0002025555,0.0,0.0,0.0,0.0,1.78468e-05,0.0,0.0,2.70434e-05,0.0,0.0,7.58833e-05,2.27e-08,0.0028576699,0.0,0.0,9.396e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2773e-06,0.0002228998,0.0,0.0,0.0,6.4593e-06,0.0,2.1e-09,0.0030735149,2.5126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9912e-06,0.0,0.0,0.0,0.001191726,7.124e-07,0.0,0.0,0.0,0.0,0.0,2.5e-09,6.4644e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126410724,0.0001639952,0.0030735149,0.0,0.0,2.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098976024,2.2773e-06,2.21948e-05,1.72e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8543e-05,3.8543e-05,2e-10,0.0,2.19e-08,0.0,0.0001910386,0.0,0.0,0.0,0.0011646824,0.0,0.0,0.0,7.4216e-06,0.0,2e-10,2.70434e-05,0.0,0.0,0.0,1e-10,2.70434e-05,0.0,0.0,0.0,0.0030735149,0.0,2.7e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59297e-05,4e-10,4e-10,7.34402e-05,0.0,0.0,0.0,0.0,0.0,0.0028569575,0.0,2e-10,0.0,0.0,2.7e-09,0.0,2.17e-08,0.0,0.0,0.0,0.0,0.003048389,0.0,0.0,0.0,0.0,0.0,9.396e-07,0.0012405653,0.0,0.0,0.0,0.0001639952,2.27e-08,0.0,0.0,1.68625e-05,0.0,4.68e-08,0.0,2.17e-08,0.0,1.1229e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17e-08,2.42e-08,2.27e-08,0.0,0.0,0.0,0.0,0.0,1.68157e-05,0.0,3.9912e-06,0.0,0.0,0.0001639976,0.0,0.0,0.0007650183,0.0,6.4593e-06,7.58829e-05,0.0,1.57355e-05,0.0,0.0007650183,0.0,0.0,0.0,0.0,0.0,0.0
Cresselia,0.0575798255,0.0488963541,0.0,0.0,19.3757067584,1.28e-07,0.0023241176,9.936e-07,0.0160558611,0.0,10.6344290668,0.331258333,4.4e-09,2.5261e-06,0.0,0.0,0.0022976847,1.70240228,1.2929845112,2.41744e-05,0.0001664053,0.0,4.6319617818,0.0,7.36017e-05,0.8017775929,0.1487957365,0.5218969804,2.2462e-06,0.0,0.1402154366,8.787e-07,16.7703747177,3.7317815068,0.0763150899,0.0001030295,19.3029600636,0.0,0.0001707906,8.76e-08,7.35016e-05,0.0001117434,7.9e-09,0.0159903851,0.0,0.0,0.0351535572,0.0,0.392890642,0.0,0.0,0.0,0.0565391818,0.0,0.0009993239,0.5217257311,0.0,4e-10,5.1283635509,0.7561597346,0.0,0.0011193364,0.009353112,0.0,0.0351536025,3.1971e-06,2.5243463713,7.744e-07,7e-10,5.1274621004,0.0544506481,9.0751e-06,7e-10,0.0023485292,0.0001298428,0.0023237527,1.88819e-05,0.0001755061,0.0025200612,0.0012093071,17.4701234324,25.3308710386,14.593388831,0.0,0.0,0.0,0.0,6.14e-08,0.0380170694,0.0,1.3078056302,0.0,8.787e-07,0.037024473,0.000225708,0.0,0.0,0.0,0.0699671667,0.0001309094,2.8e-08,0.0001063161,5.2263e-06,0.0004604451,1.7177259626,2.7057815351,0.0,6.78732e-05,0.0514550553,10.6344299533,1.1914e-06,0.0,0.0,0.0084529371,0.0002009129,7.83181e-05,0.0,1e-09,0.0001308362,3.512223122,5.4111e-06,0.0,0.6122409961,0.6123867643,1.536e-07,9.0752e-06,0.0,1.972e-07,0.0489510858,0.0002245923,15.4437152797,0.0,2.1806567528,0.0,3.477e-07,0.0133546361,0.62217878,0.0,0.000999324,3.25343e-05,0.0029604409,0.0,0.0,0.0,1.8685378832,1.3004524783,1.146e-07,3.028e-07,0.0112093324,0.0001954034,0.0,0.0,0.0001063056,6.05378e-05,4.4024328552,1.162e-07,0.2783170588,0.0140814891,0.0139941844,4.28e-08,0.022209012,0.0048131558,0.0,0.0076035488,19.2359208655,1.287e-07,0.0089549341,3.5046070031,0.0,2.31811e-05,0.4473606998,4e-10,1.3069194966,0.0716244139,0.3243920412,0.6736012197,0.0028588327,17.9946776596,0.0662857604,0.0,0.0403971805,0.0,3.4577896678,6.1194e-06,0.0004604453,0.0,5.1273173566,3.6748e-06,0.0043643402,0.0,4.9514e-05,0.0130288727,0.0001468542,2e-09,0.0001766809,2.31811e-05,4e-10,7e-10,10.8878743408,0.0,0.0011223406,0.3080201188,1.1e-09,0.0058973738,0.0,0.0,0.0,16.7879139895,8.4748e-06,0.0732766849,0.0,7e-10,0.0516820127,6.31e-08,0.0029513649,0.0,0.0002136145,0.0771427708,1.4e-09,5.4949414461,0.0025267347,0.0,0.0001340631,1.01643e-05,1e-10,8.09e-08,0.0002112386,3e-09,0.0,0.0001048375,3.445e-07,10.8497451689,0.0315102496,1.4e-09,0.0,4.3634e-06
Tangela,3.1e-09,0.0007080811,0.0,0.0,2.9371e-06,0.0,0.0,0.0,0.0002514152,0.0,0.0,1.04602e-05,0.0,0.0,0.0,0.0,0.0,0.0003572728,0.0,0.0,0.0,0.0,0.0,0.0,0.0003148198,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,1.05e-08,0.0141403931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88e-08,0.0,0.0006656347,0.0,0.0,0.0,2.9559e-06,0.0,0.0,0.0,0.0,0.0,0.0003148281,0.0,0.0,0.0,0.0,0.0,0.0,5.88294e-05,0.0,0.0,2.9371e-06,0.0,0.0,0.0,0.0,5.79908e-05,2.732e-07,0.0,0.0,0.0,4.9e-09,2.9402e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1415e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.77176e-05,0.0,2.732e-07,6.7e-09,0.0,0.0,0.0,0.0,1.1118e-06,0.0,0.0,9.8e-09,0.0,0.0002514152,0.0,0.0,0.0,0.0,0.0,0.0003179613,0.0,1e-10,0.0,0.0,0.0,0.0,0.0006760949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1415e-06,0.0003148198,0.0,1.0125e-05,1e-10,0.0,4.24464e-05,0.0,0.0,0.0,0.0,0.0,0.0009170499,0.0002514152,0.0006656347,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,4.9e-09,3.1416e-06,0.0,0.0,1.88e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014140115,4.24464e-05,0.0,3.1415e-06,1.04602e-05,0.0,0.0,6.7e-09,0.0,0.0,0.0,4.9e-09,0.0,0.0,0.0,0.0,0.0,3.384e-07,0.0,0.0,0.0,0.0,0.0,1.1118e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9371e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19e-08,0.0
