,Gengar,Iron Valiant,Volcarona,Barraskewda,Mimikyu,Gholdengo,Bronzong,Noivern,Garchomp,Pincurchin,Scream Tail,Appletun,Quaquaval,Toedscruel,Ditto,Grafaiai,Eelektross,Lilligant,Toxapex,Bisharp,Toxtricity,Zangoose,Indeedee,Lucario,Bellibolt,Florges,Frosmoth,Leafeon,Slowbro,Glimmora,Arcanine,Revavroom,Kingambit,Magnezone,Staraptor,Meowscarada,Cloyster,Espathra,Klefki,Ting-Lu,Scovillain,Farigiraf,Salamence,Falinks,Wo-Chien,Haxorus,Dachsbun,Glaceon,Clodsire,Cinderace,Goodra,Chansey,Hippowdon,Blissey,Mismagius,Basculin,Brambleghast,Sylveon,Gardevoir,Iron Jugulis,Kilowattrel,Amoonguss,Jolteon,Squawkabilly,Armarouge,Misdreavus,Iron Treads,Rotom-Wash,Pelipper,Avalugg,Talonflame,Dudunsparce,Sawsbuck,Umbreon,Annihilape,Rabsca,Dragalge,Tauros-Paldea-Aqua,Ceruledge,Iron Thorns,Quagsire,Masquerain,Chien-Pao,Dragonite,Gyarados,Chi-Yu,Vaporeon,Orthworm,Froslass,Dragapult,Hariyama,Breloom,Slowking,Alomomola,Rotom-Mow,Hawlucha,Torkoal,Polteageist,Grimmsnarl,Magneton,Golduck,Hattrem,Brute Bonnet,Arboliva,Corviknight,Cetitan,Sableye,Veluza,Tauros-Paldea-Blaze,Iron Hands,Scizor,Bombirdier,Donphan,Floatzel,Cyclizar,Gastrodon,Weavile,Baxcalibur,Dondozo,Garganacl,Tyranitar,Sandy Shocks,Tinkaton,Indeedee-F,Charizard,Skeledirge,Abomasnow,Gallade,Tatsugiri,Oricorio-Pom-Pom,Qwilfish,Beartic,Clawitzer,Gogoat,Hatterene,Rotom-Heat,Great Tusk,Lycanroc-Dusk,Lechonk,Slither Wing,Espeon,Pawmot,Lokix,Azumarill,Spidops,Maushold,Hydreigon,Forretress,Roaring Moon,Iron Moth,Flamigo,Drednaw
Blissey,0.0008902208,1.3064038632,0.0720134687,0.0001295917,0.0010210453,1.8269686903,3.73231e-05,0.0,1.3172685275,1.0866e-06,0.0,0.0,0.0003426419,0.046810101,0.1418665749,1.493e-07,4.70441e-05,0.0,2.7373426849,1.162e-07,0.0,0.0749939737,0.0,0.0002547605,0.0,0.0001298714,0.0,0.0,1.3651e-06,0.2287238423,1.32e-08,0.0002270099,0.087188185,0.0070687334,0.0749966609,0.1791119463,0.0002538331,8.32e-08,0.0,0.0749759975,4.73e-08,0.0,0.0003766066,0.0,0.0300862692,1.09e-08,0.1649323074,0.0,2.0237842364,0.0638578682,7e-10,0.0001492417,0.0022795412,0.0,0.0,0.0,0.0,0.0001298714,0.0,0.0,0.0,1.5369377485,4e-10,0.0,1.7318e-06,0.0,0.0904204316,0.0004769111,0.0001323877,0.0054075622,1.3496967125,0.0,0.0002337369,5.2484e-05,0.3477590017,4.451e-07,0.0,0.9963366203,0.0021978521,0.0,0.0077831393,0.0,1.2866430324,0.7596788829,0.0006417679,0.7320008198,0.0,0.0002715464,0.0,0.0861036273,0.0,0.018056994,0.0009722441,1.9330345356,0.0,0.1513577312,0.0002387141,6.42196e-05,0.0018944059,0.0,1.039e-07,0.0,0.0722385515,0.0,2.0103222305,0.0001076442,9.58e-08,0.0,0.04064113,0.1118356276,0.082869898,0.0,1.996e-07,1.039e-07,0.026688835,2e-10,0.0,9.561e-06,3.0010796399,1.4859033815,0.0063567394,0.0140021947,2.75e-08,0.0002002294,4.99887e-05,0.2103150671,2.6959e-06,0.001064662,0.0,0.0,0.0004252351,0.0,0.0,0.0,0.0008387342,5.486e-07,1.9363073202,4.373e-07,0.0,0.0,1.753e-07,0.0468670025,0.0289288074,1.39654e-05,0.0,0.0012356428,0.0006637968,3.3838e-06,0.003976841,0.6397837097,1e-10,0.0
Lokix,0.0002535979,0.0954617318,0.4252254337,0.0009164621,3.707e-07,0.4423997513,0.0157698493,0.0043323954,0.0565197469,5.21975e-05,0.0619152964,6.68e-08,0.1633773765,0.0069624203,0.0344002741,0.0069247882,0.0069442592,0.0451318951,0.0504155477,0.0002828701,2.38e-08,0.0,0.0,0.005744871,0.0023062776,2.7903e-06,0.0002405471,0.0,0.045791632,0.5813049489,1.1e-09,0.0002679444,0.1247047471,0.5850192989,3.1909e-06,0.121632413,0.0002461633,0.0020032451,3.4e-09,0.0723829601,8.3361e-06,7.48754e-05,0.0001499835,0.021918437,0.0,0.0219305965,0.0029144016,1.0071e-06,0.2053276811,0.0033475333,3.45514e-05,0.0008979171,0.0,0.0289288074,0.0,0.0,2e-09,3.498e-07,3.1051e-06,6.8e-08,0.0286209873,0.0449270266,0.0052892118,3.5e-09,0.0041220699,0.0,0.1597874729,0.2295822094,0.0295029116,6.571e-07,0.0038133834,5.5388e-06,0.0003660169,0.0,0.0690312776,0.0014180202,1e-10,2.48332e-05,0.0365136777,0.0101131078,3.49607e-05,0.0287402752,0.1220796429,0.069048349,0.0224306281,0.4168915629,1.63e-08,0.0394724511,0.3197967549,0.2417614407,1.94e-08,0.4123433403,0.0201758603,0.0,4e-10,0.014181654,0.0030919562,5.21055e-05,0.0034677585,0.0,0.0,0.0,0.0001025738,0.0048080015,0.4364891825,2.99264e-05,0.0,7.07433e-05,2.16602e-05,0.090019922,0.1916813081,0.0009032254,7.75372e-05,0.0286169772,0.0820697559,0.0005385723,0.0577435429,0.2827125858,0.1058881932,0.1447155652,0.0764669778,0.0271991958,0.0001863939,0.0,0.0007659867,0.1587186009,0.0145258811,0.0124914042,6.8498e-06,0.0,1.007e-07,0.0,0.000588673,0.0,0.4472163511,7.1065e-06,0.4697262484,0.0003455547,0.0,0.0255044064,0.0081174274,0.1146585225,0.0,0.0210593841,0.0043605318,0.0787215342,0.0005850295,0.0066634117,0.0403290345,0.1775764753,0.0009084524,2.6598e-06
Arboliva,4.692e-07,0.0318502547,0.0263994859,6.18904e-05,7.1e-09,0.0344408412,0.0032200162,0.0,0.2591858758,0.0,0.5853461036,3.473e-07,0.0311709374,8.11719e-05,3.4334e-06,9.88178e-05,1.11e-07,8.66e-08,0.001920963,1.2e-09,1.9e-09,8.58925e-05,0.0,0.0,0.0064487155,0.0006024064,0.0,3.28803e-05,0.0,0.0249644534,9.4697e-06,8.7957e-05,0.7881806367,0.0003465246,7.739e-06,0.0012929408,7.1e-09,0.0182146855,2.0213e-06,0.0032649758,0.0001189485,0.0015686661,7.1e-09,0.0,0.0,0.0,0.0030033403,0.0,0.0069933434,0.0134641424,0.0002358635,0.0,0.0,0.0,0.0,0.0,0.0007877305,1.32e-08,0.0,1.168e-07,0.0003445893,1.60816e-05,1.1e-09,0.0,0.0051023383,0.0,0.0001126552,0.4996991315,6.6687e-06,0.0026026899,0.2508777529,3.3e-08,0.0,0.0,0.6074045723,0.0071913802,0.0,0.0010212666,0.0058183944,6.26e-08,0.0,3.452e-07,0.0266984951,0.0090859037,1.04e-08,0.6044976005,0.0,0.0046428365,5.277e-06,0.5025868573,0.0,0.2524464071,0.0033780377,1e-09,0.0,0.0217032754,0.0175537998,7.59502e-05,0.0086652456,0.0,0.0,0.0,1.35643e-05,0.0,0.7454010128,0.0039439189,1.17e-07,0.0103899342,0.0003487053,0.0084838319,0.0172543027,1.16085e-05,0.0,4.8e-09,0.0243923423,0.5806776896,0.0,0.0046637957,0.2683814993,0.0115850711,3e-08,0.0013093738,0.0001613919,0.0,5.3683e-06,0.378455126,0.0010210811,0.0001587221,6.7579e-06,6e-10,0.0,0.0,6.686e-07,0.0010763076,0.0093301391,2.012e-06,0.5154713041,9.6005e-06,0.0,0.0139101615,0.0013206484,0.0282080844,0.0048080015,0.0018984306,1.06344e-05,0.0037196341,7.7461e-06,3.53689e-05,0.0036552134,7.60305e-05,0.0020167119,0.0
Iron Valiant,0.5118325966,0.0,0.9875396272,0.09051785,0.0364220974,40.3808025631,0.0047214769,0.0094016691,13.9029363624,0.1597693257,0.0749249395,0.0,0.7879608352,0.5550264087,0.0821362791,0.088433626,0.0070204043,5.83426e-05,12.7166923369,0.0105575805,0.0622278853,7.5863e-06,0.2277118715,8.63314e-05,0.034471051,0.0,4.48322e-05,2e-10,0.005280801,17.2590659282,0.0100301907,0.0016913666,6.5919832056,0.2290757437,0.0788589632,0.6798475423,0.016738019,0.0737116347,0.0003461007,32.8618593146,0.0005642142,1.7485e-06,0.0030436944,5.97161e-05,0.0340649587,0.0629887666,0.000175952,0.0,5.5225677378,0.6221543284,0.0050218192,0.0161972893,0.0100368704,1.3064038632,1.26e-08,3e-10,0.0093953983,0.0058306542,0.0004099143,0.1290148925,0.0006210057,8.9989010192,0.0037020623,7.419e-07,1.5775365529,0.0,7.9499744462,23.5412001909,5.3251997233,0.0003114202,0.0798923277,0.1334168255,0.0152953568,0.001434171,6.4754568339,0.001675937,1.45211e-05,0.042570889,3.7247220919,0.0231308446,5.52499e-05,0.3499728278,18.4400868672,15.8059900738,0.0578092205,12.1601738354,1.64321e-05,0.1786224237,0.0152953623,10.4865558003,0.1034045038,3.0372007255,0.4404721565,0.0521659685,0.050472794,0.2405514548,0.0345765605,0.0006511925,0.4307382861,1.41286e-05,0.1050606168,0.0,0.0005969085,0.0318502547,11.3290545888,0.0010545308,0.0,0.0311484773,0.8297029019,0.9017982407,4.7748825605,4.51969e-05,0.0062318376,0.2918789379,1.303665008,0.0057278225,0.0009756505,1.066248694,1.6786305749,18.092378044,0.5669845683,0.5666869047,0.13514432,6.32456e-05,0.0015358776,3.3191950419,0.0037863399,0.0380288118,0.0217065763,0.0,0.0,0.0,0.0097932195,0.0,2.5130621606,0.0094158227,27.6665891537,0.0739799677,0.0,0.0282385969,0.5094966953,0.1006588149,0.0954617318,1.6382355823,0.0237648171,0.1075005592,0.1075288492,0.0028913879,7.8139914954,2.7231546499,0.0083420909,0.0
Volcarona,0.1296697369,0.9875396272,0.0,0.0005596342,0.021015429,8.7943903691,4.384e-07,0.0030807333,1.3082565897,7.18e-08,0.0529267588,0.0146430046,0.1084325842,4.597e-07,0.048839739,0.0005884573,0.0117041214,3.304e-07,0.981862475,6.44e-08,0.0003754973,0.0001881184,0.0028025519,0.0002013523,0.0479078024,5.40735e-05,0.0108349572,2.4839e-06,0.0019017955,1.002941085,0.0,3.3718e-05,7.6715412416,0.3588782906,0.0604809613,0.1809890378,0.2233547117,1.1544006379,7.14e-07,2.0321323244,2e-09,0.0,0.0025919216,0.0004620882,0.0017837347,4.6544e-06,0.0018926902,0.0,1.0985623644,0.0709423442,0.1367328865,0.0008604734,0.0001412102,0.0720134687,0.5186255459,0.0,1.18915e-05,0.0363721695,3.83186e-05,6.26552e-05,0.0004695776,1.5566629053,0.0009784954,0.0,0.0008003927,0.0,4.0802115621,10.0892034577,0.0003314884,0.0001353852,0.0,3e-10,0.0,0.0,1.3192135234,0.003502986,0.0,0.0001498291,1.5451384567,0.2877438732,3.2296e-06,0.0700660961,3.5532075474,2.5228575784,0.0728987605,0.4076109546,0.0024366999,0.0752902076,0.3197967549,11.2679156356,0.0189122429,0.7912775881,5.83695e-05,0.0001162803,8.5385e-06,0.0393727909,0.0319457845,0.0005300581,3.5164621954,0.0,1e-10,0.0,0.0720048732,0.0263994859,1.5235145448,5.9954e-05,0.0087673799,0.0015716686,8.6289e-06,1.727881812,0.8080075901,0.0025253931,0.0277838688,0.0001958295,4.8108812626,0.0005937728,0.0018361176,0.239491196,5.8608516483,6.4793388416,0.0530857002,0.0661373453,0.0476533101,0.0002980301,0.0033857908,0.0189680183,0.0043564741,0.6636487721,4.76099e-05,0.0003144216,1.007e-07,0.0,0.0002035477,0.0,2.9885276132,9.54e-08,7.7450389785,5.887e-07,0.0,0.4641560105,0.0016746909,0.5328725689,0.4252254337,1.1095505959,0.0014183246,0.0878453392,0.1064787242,0.0056614002,1.8043299692,0.0109085792,5.024e-07,1.5702e-06
Salazzle,0.0,2.2138e-06,0.0017519669,0.0,0.0,1.52618e-05,0.0,1.0924e-06,0.0,0.0,4.332e-07,0.0,0.0017519669,2.0376e-06,0.0048796616,1.133e-07,0.0,1.133e-07,8.1e-09,0.0,1.0882e-06,0.0,0.0,0.0,0.0,0.0,0.0048797558,0.0,0.0,1.1828e-06,0.0,4.332e-07,0.0017519669,0.0,0.0,0.0051411665,0.0,5.17e-08,0.0,2.5989e-06,0.0,0.0,0.0,7.91e-08,0.0,0.0,0.0,0.0,1.28714e-05,0.0,1e-09,1.55e-08,0.0,1.28558e-05,0.0,0.0,0.0,2.16601e-05,0.0002398639,0.0,0.0,0.0017648243,0.0,0.0,2.1097e-06,0.0,1.7868e-06,0.0002398649,0.0,0.0,0.0,0.0,0.0,0.0,2.17443e-05,0.0,0.0,0.0,0.0,0.0,7e-09,0.0,8.70789e-05,0.0017519669,0.0048807349,0.0,0.0,5.1e-09,0.0,8.37e-08,0.0,1.6e-09,2.439e-07,0.0,0.0,0.0,0.0,0.0,1.145e-06,0.0,0.0,0.0,0.0,5.1e-09,1.28674e-05,0.0,0.0,0.0,0.0,1.0924e-06,0.0002409563,5.1e-09,0.0,0.0,7.42e-08,1.0882e-06,0.0,2.17118e-05,8.85818e-05,8.77732e-05,8.59865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-09,0.0,0.0003280161,0.0,0.0,0.0,0.0,0.0,4.332e-07,2.0306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.133e-07
Spiritomb,0.0,0.0,2e-09,0.0,0.0004271285,2e-10,2e-10,0.0,2e-09,0.0,0.0002521842,0.0,0.0,0.0,0.0004271285,0.0,1.9e-09,0.0,0.0001749463,0.0,0.0,0.0,2.40052e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.22455e-05,0.0,0.0,6.89926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97607e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67491e-05,0.0,0.0,0.0,2.54712e-05,0.0,2e-10,0.0,0.0,0.0,0.0,1.468e-06,2e-09,0.0,0.0,0.0,0.0,0.0001749443,4.76263e-05,0.0,0.0,0.0,2.22455e-05,0.0,0.0,2.22455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.887e-07,0.0,2.54712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toedscool,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,4.6e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-09,4.6e-09,0.0,0.0,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glalie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4382e-06,0.0,0.0,0.0,0.0,5.73324e-05,5.73324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73324e-05,0.0,0.0,5.4382e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4382e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4382e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eevee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
