,Gengar,Iron Valiant,Volcarona,Barraskewda,Mimikyu,Gholdengo,Cacturne,Noivern,Garchomp,Pincurchin,Scream Tail,Quaquaval,Toedscruel,Ditto,Grafaiai,Eelektross,Toxapex,Tauros-Paldea-Aqua,Toxtricity,Zangoose,Indeedee,Lucario,Bellibolt,Florges,Flittle,Altaria,Slowbro,Oricorio-Sensu,Glimmora,Arcanine,Revavroom,Kingambit,Magnezone,Staraptor,Meowscarada,Cloyster,Espathra,Klefki,Ting-Lu,Scovillain,Farigiraf,Salamence,Falinks,Wo-Chien,Haxorus,Dachsbun,Glaceon,Clodsire,Cinderace,Goodra,Coalossal,Chansey,Hippowdon,Blissey,Mismagius,Brambleghast,Primeape,Greninja,Sylveon,Klawf,Hariyama,Iron Jugulis,Kilowattrel,Amoonguss,Squawkabilly,Armarouge,Golduck,Rotom-Wash,Pelipper,Avalugg,Talonflame,Dudunsparce,Umbreon,Annihilape,Rabsca,Dragalge,Heracross,Ceruledge,Iron Thorns,Quagsire,Masquerain,Chien-Pao,Dragonite,Gyarados,Vaporeon,Orthworm,Ursaring,Dragapult,Gardevoir,Lycanroc,Breloom,Slowking,Alomomola,Rotom-Mow,Hawlucha,Torkoal,Polteageist,Grimmsnarl,Tauros-Paldea-Blaze,Iron Treads,Brute Bonnet,Arboliva,Corviknight,Cetitan,Sableye,Pyroar,Veluza,Iron Hands,Scizor,Bombirdier,Donphan,Floatzel,Tsareena,Cyclizar,Gastrodon,Weavile,Baxcalibur,Dondozo,Garganacl,Tyranitar,Sandy Shocks,Roaring Moon,Tinkaton,Indeedee-F,Charizard,Skeledirge,Zoroark,Salazzle,Abomasnow,Chi-Yu,Tatsugiri,Cryogonal,Beartic,Gogoat,Hatterene,Rotom-Heat,Tauros-Paldea-Combat,Great Tusk,Mabosstiff,Lycanroc-Dusk,Slither Wing,Crocalor,Espeon,Pawmot,Lokix,Azumarill,Murkrow,Spidops,Maushold,Hydreigon,Forretress,Gallade,Iron Moth,Flamigo,Drednaw,Krookodile
Blissey,0.0003811502,0.0225591208,0.0082078974,3.03e-08,0.0001578731,1.8333051902,0.0,0.0,0.6955158095,4.8495e-06,0.0001210961,0.0010142424,0.0174269744,0.2196219201,5.0552e-06,0.0,5.7181379854,6.489e-07,0.0,0.0,4.9844e-06,2.3943e-06,4.85748e-05,8.65e-08,0.0,0.0,0.0,0.0,0.2078226532,1.168e-06,3.0383e-06,0.0024811342,2.24e-08,0.0033199161,0.0234299371,3.675e-07,0.0005559721,0.0,0.1971425627,6.8818e-06,8.30956e-05,0.0,0.0,0.0088434631,4.63245e-05,0.0031022623,0.0,6.0494453671,0.0252466315,6.2e-09,0.0,2.91402e-05,2.48e-08,0.0,0.0,9.866e-07,1.27e-08,0.0228300214,1.46582e-05,0.0,0.0,0.0,8.898e-07,1.1368602913,0.0,5.03611e-05,3e-10,0.0214500433,0.0007039552,0.3613914,4.6397111794,0.0,1e-10,0.1078254746,0.0192241897,0.0,1.721e-07,3.09701e-05,0.0,0.0683238285,1.4594e-06,0.1030123613,0.1278459476,3.39e-08,0.0,6.99348e-05,8.30956e-05,0.0005957617,0.0,2.48e-08,0.0183004116,0.0178973851,5.9519709834,3e-10,0.0385036042,0.0012314839,0.0018242392,0.0005405007,0.8850594572,0.0052759954,0.0071792604,9.01364e-05,1.984509591,0.0003939447,6.616e-07,7.08e-08,0.0054290651,0.0071843044,0.0034733316,0.0032516733,8.898e-07,0.0007089093,1.4594e-06,0.0004830733,2.291e-07,0.0,0.0037749047,6.1254506887,1.3851774102,0.0024122503,2.46895e-05,0.0004134984,0.0674832524,0.001824217,0.0007458763,0.9328159361,0.0,9.85e-08,0.0,0.2121268473,0.0,0.0071487501,0.0,0.0,0.2973000828,0.0013122899,1.46106e-05,0.3008659744,0.0,1e-10,7e-07,0.0,0.0018242298,2.92031e-05,0.0051946587,0.0021507121,1.77231e-05,0.0,0.0159218004,1.46462e-05,0.0,0.0,0.107804725,0.0,0.0,3.047e-07
Lucario,0.0001439534,0.0059682442,0.6207155845,3.3e-09,0.0001489283,0.6165469765,0.0,0.0001854504,0.6186656111,0.0,5e-10,0.0003941599,5.4415e-06,1.55084e-05,0.0001289634,4.7269e-06,0.044402199,7.7531e-06,8.359e-07,0.1137922195,0.0,0.0,0.0,1.65504e-05,0.0,1.5e-09,0.0,0.0,0.0004196094,0.0215296534,1.9879e-06,0.7304627787,0.0024578627,0.1139361864,0.0031274538,0.0002547068,0.0001201395,0.0,1.23703e-05,1.82e-08,5.074e-07,0.002459519,3.32e-08,0.0004674666,8.9664e-06,0.0,1.994e-07,2.23627e-05,3.07704e-05,1.17e-08,0.0,0.0005046195,0.0004674666,2.3943e-06,0.0,0.0,0.0,4.25707e-05,1.58e-07,0.0,0.0,3.2797e-06,1.79368e-05,0.0228877626,0.0,0.0263187748,0.0,0.0028864415,1e-10,1.2701e-06,1e-10,1e-10,0.0007838301,0.1137924855,0.0,0.0001196082,2.5128e-06,6.02827e-05,2e-10,2.0125e-06,4.34206e-05,0.0510228483,0.1797908911,4.6571e-05,1.1027e-06,3.8739e-06,0.0,0.0001521585,0.0014526195,0.0,0.0007252368,1.994e-07,0.0,0.0,0.0002588764,1.75958e-05,0.0040882711,0.002557752,3.32e-08,6.6732e-06,0.0,2.47e-08,0.0045721946,2.15639e-05,1e-10,0.0,5.3207e-06,5.09127e-05,0.0014303138,0.0,4.0251e-06,2.64e-08,0.0,3.18e-08,0.0001337314,0.0,6.52551e-05,0.0005410799,0.0462365578,0.0007999085,0.0001282884,0.000140638,0.0001732346,0.0,6.0624e-06,0.0036544295,0.0,1.2647e-06,2.15457e-05,2.2e-09,0.0,1.994e-07,0.0,0.0,0.0001608032,7.74096e-05,0.0,0.6640605576,2.47e-08,2.5921e-06,0.0215714776,0.0,1.66858e-05,0.0005587358,0.0215296523,0.0242827157,1.568e-07,0.021529234,0.0222577088,0.026321818,4.0256e-06,0.0004814468,0.0025632434,3.83e-08,0.0,3.80836e-05
Iron Valiant,0.0171542473,0.0,9.2086820171,0.1435006748,0.0310135462,23.9547322392,0.0,0.0213199116,7.4219814431,6.1516018113,0.409450372,1.028483315,0.8892114012,0.2768099464,0.0012706933,1.2652e-05,7.4491186944,0.0143006476,0.0020087672,0.0273330161,0.0439939112,0.0059682442,0.0671951757,0.0235591684,0.0,4.759e-07,0.0209185873,7.066e-07,13.2784770853,0.1807662284,0.0135778234,10.4564367413,0.346705746,1.1777530935,2.0326393722,0.0169507019,7.1371942502,0.0123941001,14.6517376858,0.0045778523,4.47666e-05,0.4254549604,0.0,0.0416065711,0.0141574511,0.0002832777,0.0053864213,2.5747431192,6.0165553845,0.020619983,2.00321e-05,0.0036518792,0.0004933615,0.0225591208,0.0014416777,1.0422244353,1.56557e-05,1.4630778588,0.0802529942,0.0,0.00158596,4.9251673486,0.0067234242,3.7054082863,0.0358167371,3.0629574563,0.0023245115,13.5849040392,2.5166857731,0.0118983543,0.226940256,0.0002302858,0.0045053785,1.4490780426,8.8334e-06,0.1001042481,0.0018829149,1.0714853569,1.0322641834,2.46027e-05,1.2178578315,13.7658674312,13.0482606868,0.0078144472,0.0406488003,6.8266566662,0.0,5.6166666608,0.0557288558,1.99e-08,4.9115148471,0.5046439544,0.0333106513,0.0189586548,0.7118498883,0.0587149997,0.0590318157,4.1212220709,0.3011652438,10.4309247649,0.0029304714,0.1548953549,6.886943044,0.0292112827,0.0014665518,0.0118960523,0.0355955734,2.3648940829,2.138419734,0.009894368,0.0010355482,0.079149961,0.0003162493,1.1488346724,0.0206378724,0.0035679257,1.6426921728,1.8577878548,8.541023139,0.0191559197,0.679479327,3.9297587634,0.1847892006,0.0,0.0007656413,1.294898025,0.0047626457,0.0004986559,0.0053881568,2.92776641,0.0011333338,0.0,0.0,0.0,1.5671450582,0.0057897249,0.0,18.4325186141,0.0548670164,0.0077916511,0.1056266257,0.0018898654,0.0208482246,0.273529312,0.0752785537,5.1529334485,0.0003114754,0.004042149,0.1718755666,0.2132670668,0.0232295728,0.1969722104,6.2926270503,0.3068274785,4.62e-08,0.023516436
Mareep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magikarp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9129e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6174e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9128e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.6174e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6174e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6175e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spiritomb,6e-10,0.0046639285,0.0,0.0,1e-10,0.0019100155,0.0,2.641e-07,0.0050911193,0.0,0.0,3e-10,0.0,0.0,1e-10,4.7281e-06,0.0,0.0,0.0,0.0,1.188e-07,0.0004271941,0.0,0.0,0.0,0.0,0.0,0.0,0.00190998,0.00020448,0.0002044912,0.0012577503,0.0,0.0,4.6943e-05,0.0,0.0012576386,0.0,0.0031857538,0.0,2.641e-07,0.0,0.0,8.46e-08,1e-10,1e-10,0.0,0.0046817644,0.0033697558,0.00020448,0.0,3.3289e-06,0.0,1e-10,1.11e-08,1e-10,0.0,0.0,0.0,4e-10,0.0,0.0,0.0,1.78392e-05,0.0,0.0,0.0,0.0019098655,0.0,0.0,0.0,1.2e-09,1e-10,1e-10,1.4e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0021556996,3.3e-09,0.0,0.0,1e-10,1.191e-07,1.17e-08,0.0,0.0,0.0046639252,8.46e-08,1.2e-09,0.0,0.0,1.188e-07,4e-10,0.0004224672,0.0,0.0,0.0,0.0002044829,0.0004225865,0.0,0.0,0.0,0.0,0.0021556996,2.8e-09,0.0,0.0,0.0,0.0,1.145e-07,4.7269e-06,3.47e-08,3.3e-09,1e-10,0.0021155371,1.78392e-05,2.641e-07,1e-10,4.5e-09,0.0,0.0,0.0013012153,0.0046639252,0.0,2e-10,0.0,2e-10,2e-10,2e-10,0.0,0.0021736607,0.0,0.0,0.0019098655,0.0,0.0,2e-10,0.0,0.0,0.0,0.0,3.7118e-06,0.0,0.0,2e-10,8.46e-08,0.0,0.0,3.3289e-06,0.0,0.0,0.0
Abomasnow,1.27e-08,0.0053881568,2.14171e-05,0.0,3.65902e-05,0.0927693813,0.0,0.0,2.60749e-05,0.0,9.9401e-06,0.0083631258,0.0078217411,0.0001808803,0.0,1e-10,0.0086661096,0.0,1e-10,0.0,0.0,2.15457e-05,3.671e-07,1e-10,0.0,0.0,9.14669e-05,0.0,0.0005940028,2.485e-07,1.7869e-05,0.0403752619,2.0755e-06,1.26e-08,3.02103e-05,0.0378306337,0.00010325,0.0,0.0006295855,2e-10,5.9916e-06,4.58336e-05,0.0,0.0,3e-10,9.8227e-06,0.005491528,0.1173673521,0.0579251857,8.8e-09,4.64e-08,0.0,0.0,0.0,8.8e-09,2.6794e-06,0.0,0.0086654119,0.0,2e-10,0.0,9.94433e-05,2e-10,3.0911e-06,0.0,0.000113091,0.0,0.0005114406,3e-10,8.96014e-05,1.5396e-06,0.0,0.0,2.1404e-06,0.0,0.0,0.0,0.000537386,5.88e-08,0.0,0.0,0.0006003852,0.0471963407,9.42084e-05,0.0,0.0002076559,0.0,0.0053869498,1.996e-06,0.0,1.142e-07,0.0019811565,0.0,0.0,1.5276e-06,4.37613e-05,2.25e-08,9.9243e-06,2e-09,0.0056073696,0.0,6.048e-07,0.1333055574,0.0021815817,3.75e-08,0.0,0.0,3.65933e-05,0.0459557421,0.0,0.0,0.0,0.0,7.2026e-06,0.0,7.693e-05,0.1337545067,4.7552e-06,0.0003460758,0.0006328257,1.7869e-05,4.80195e-05,0.0007584536,0.0,0.0,0.1167073445,0.0,2.78546e-05,0.0,4e-10,7.79e-08,0.0001941068,0.0540737198,0.0,0.0917625854,0.0,0.0,0.0930204855,2.78546e-05,4.40148e-05,9.7094e-06,0.0,4.26e-08,0.0002380134,0.0078190617,0.0336953051,0.0,0.0,7.6859e-06,0.0,0.0,1.27e-08,0.0003229896,0.0,1.78699e-05,0.0
Hydreigon,0.0003053422,0.2132670668,6.8341248076,8.22856e-05,0.0324377507,1.478313325,3.0561654891,4.011e-07,5.1593322847,0.0090176389,0.001778301,1.677847037,0.8748851482,0.1200208162,0.0002492872,1.1e-09,2.6911173379,0.0016341565,0.0004162374,0.0,0.0,0.026321818,0.001282518,2e-10,0.0,0.0,0.0051139799,1e-10,0.1212281189,0.05069286,1.19574e-05,3.5993679314,0.0090881349,0.0014446447,0.0725869445,0.0002588847,0.1093376056,0.0324410198,0.2931815868,3.62762e-05,0.0,0.0002780898,0.0,3.75979e-05,0.00396427,1.0811e-06,0.0,0.4988521331,0.5128413162,7.44091e-05,6.12021e-05,1e-10,9.647e-07,1.46462e-05,0.2070060412,0.0,0.0,3.05006e-05,0.45064701,3.2526e-06,5.12e-08,0.0001348684,2.58458e-05,0.1543198972,0.0011164447,0.0279346184,4.2e-09,0.8954788026,0.0177655775,3.024e-07,4.33784e-05,5.8e-09,2.38846e-05,0.0271015435,0.0014309037,8.54e-08,0.0001576411,0.038353186,0.0036166252,0.0034910733,0.0076828211,3.0331101462,0.4099046477,0.0047490706,7.307e-07,0.1069465885,0.0,0.2777426978,8.6e-09,0.0,0.0508172698,0.1773283601,2.57194e-05,1e-10,0.0135714134,0.0233917315,0.0364726122,0.2546085214,0.0044194065,0.0637916735,0.0231333613,1.98441e-05,0.3680538316,0.0064924643,8.319e-07,0.0,0.0012613047,0.0078726227,0.2041648539,0.0002121101,2.45456e-05,0.0177444859,3.3048e-06,0.0041345999,0.0038956432,0.0,1.4036371405,0.9845422463,2.4478044666,0.0631626404,0.0283518338,0.0245073719,0.0008726594,0.0012608109,0.0065124209,1.2056266163,0.0,8e-10,0.0,0.0764254273,0.0002121101,8.697e-07,0.0,0.0,0.1344235868,0.0013263227,1.81408e-05,8.054767058,9.28e-08,0.001440905,0.2589670217,0.0,0.0006387181,0.0058860257,0.0712555293,0.1283339798,1.762e-07,4.32886e-05,0.0332969503,0.0,0.000138585,0.057334865,0.2059832423,8.699e-07,3.50686e-05,2.0855e-06
Eevee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallade,0.0020166212,0.1969722104,2.9405591974,0.0002196895,8.65513e-05,0.0904663967,0.0,0.0005536079,0.0064226383,0.0011583193,0.0009421315,0.000719045,0.0065944691,4.843e-06,2.08645e-05,0.0258411157,0.021798269,4.28094e-05,0.0107054404,2.305e-07,0.565243742,0.0004814468,0.0,1e-10,0.0,5e-10,1.07527e-05,0.0,0.4642718288,0.0090175243,2.48e-08,0.1354503195,0.0061123536,1e-10,0.0144022204,0.0002746649,0.0408955533,1e-09,0.2044177353,3.8e-09,1.407e-07,0.0090352557,0.0,0.0005057361,0.0001598191,8.355e-07,0.0,0.0051866282,0.0013092383,0.0,3.793e-06,0.0004686626,0.000468281,0.0,0.0,0.0057758462,0.0,0.0050344937,9.3345e-06,0.0,5.12e-08,1.23129e-05,0.0006194288,0.0036122767,0.0,0.5292663728,6.55e-08,0.0124146592,0.00013997,1.405e-07,0.000443302,3.45e-08,1.997e-07,1.49413e-05,0.0,5.438e-07,2.01e-08,0.0030134794,0.0008817434,0.0,0.0047967061,0.011890373,0.0559078281,2.1739e-06,0.0,0.1379323903,0.0,0.5281315408,0.0557294505,9.2e-09,0.0285953052,0.0026674829,0.0,0.0,0.5273203317,0.0535626134,0.5274968186,0.0430013064,6.7302e-06,2.9252176861,0.0090175237,1.3218e-06,0.2212487472,3e-10,0.0,0.0,0.0,9.14883e-05,0.007129396,0.0,2.05e-08,4.28094e-05,5.898e-06,0.0487377695,2.9111618291,0.0001247702,0.0339256862,0.0184519228,3.3412637431,0.0002161994,0.0056122014,2.9307497924,0.0038060173,0.0,0.0001090145,0.1200816503,0.0004093764,1e-10,1.27e-08,0.003288409,9.61e-08,0.0,0.0,0.0,0.6707429752,5.2986e-06,0.0,0.1009570173,0.0,5.8786e-06,0.3487564142,0.0,0.0061067224,0.0534683938,0.0140005222,0.0379199213,6.99e-07,0.0435672583,0.0055426537,0.057334865,0.0007902276,0.0,0.4193464867,9.48057e-05,5.438e-07,0.0
