,Iron Leaves,Gengar,Iron Valiant,Volcarona,Toxicroak,Barraskewda,Mimikyu,Luvdisc,Gholdengo,Bronzong,Noivern,Oricorio,Garchomp,Pincurchin,Scream Tail,Dondozo,Toedscruel,Ditto,Grafaiai,Lilligant,Toxapex,Tauros-Paldea-Aqua,Bisharp,Toxtricity,Zangoose,Indeedee,Lucario,Bellibolt,Florges,Flittle,Frosmoth,Altaria,Leafeon,Slowbro,Oricorio-Sensu,Glimmora,Arcanine,Revavroom,Kingambit,Magnezone,Staraptor,Meowscarada,Cloyster,Espathra,Klefki,Ting-Lu,Scovillain,Farigiraf,Salamence,Wo-Chien,Haxorus,Glaceon,Clodsire,Cinderace,Goodra,Coalossal,Chansey,Hippowdon,Blissey,Mismagius,Brambleghast,Primeape,Greninja,Sylveon,Hariyama,Iron Jugulis,Kilowattrel,Amoonguss,Jolteon,Squawkabilly,Armarouge,Golduck,Rotom-Wash,Pelipper,Avalugg,Talonflame,Dudunsparce,Honchkrow,Umbreon,Zoroark-Hisui,Rabsca,Dragalge,Heracross,Walking Wake,Iron Thorns,Quagsire,Masquerain,Chien-Pao,Dragonite,Gyarados,Vaporeon,Orthworm,Froslass,Ursaring,Dragapult,Gardevoir,Lycanroc,Whiscash,Breloom,Slowking,Drifblim,Alomomola,Hawlucha,Torkoal,Polteageist,Grimmsnarl,Tauros-Paldea-Blaze,Komala,Iron Treads,Medicham,Brute Bonnet,Arboliva,Corviknight,Cetitan,Naclstack,Veluza,Iron Hands,Scizor,Donphan,Floatzel,Gastrodon,Weavile,Baxcalibur,Quaquaval,Garganacl,Tyranitar,Sandy Shocks,Tinkaton,Indeedee-F,Charizard,Skeledirge,Pikachu,Zoroark,Salazzle,Tropius,Abomasnow,Roaring Moon,Tatsugiri,Qwilfish,Cryogonal,Hatterene,Rotom-Heat,Great Tusk,Mabosstiff,Lycanroc-Dusk,Slither Wing,Sandaconda,Espeon,Houndoom,Pawmot,Lokix,Azumarill,Spidops,Maushold,Ceruledge,Hydreigon,Forretress,Gallade,Iron Moth,Flamigo,Drednaw
Wugtrio,0.0,0.0,0.0,0.0019467171,0.0,3.68099e-05,0.0,0.0,1.41843e-05,3e-10,0.0011378769,0.0,2.6077e-06,0.0,0.0,0.0,0.0,0.0,5.6692e-06,0.0,0.0,3.68114e-05,0.0,0.0,0.0,0.0,0.0,7.7041e-06,0.0,0.0,2e-10,0.0,0.0011378769,0.0,0.0,5.0373e-06,0.0,1.22225e-05,0.0001802588,0.0,0.0,0.0564213644,0.0,0.0,0.0,7.9094e-06,1.4157e-06,5.667e-06,0.0,0.0,0.0,2e-10,0.0,0.0,2e-10,0.0,0.0,3e-10,5.667e-06,0.0,3e-10,0.0,1e-10,0.0,1.09918e-05,0.0,0.0562903247,0.0019369648,0.0,9.12e-06,1.09918e-05,0.0,1.236e-05,0.056294252,0.0,0.0,4.2e-09,0.0,0.0,0.0,1.4157e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0019369648,5.9482e-06,0.0,0.0,4.2758e-05,0.0,0.0,0.0,1.6e-09,0.0,0.0,1.78341e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9482e-06,2.12e-08,0.0,5.9503e-06,0.0,3.68099e-05,4.5009e-06,3.0798e-06,0.0,0.0,0.0,0.0001602298,0.0,5.667e-06,0.0562574422,0.0,0.0,0.000180261,5.0159e-06,2.28e-08,0.0,0.0,2e-10,0.0,0.0,0.000184756,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019369648,0.0,0.0019443924,0.0,0.0,0.0,0.0,0.0,0.0,0.0562548345,0.0011423741,0.0,9.4654e-06,3.241e-07,2.1484e-06,0.0,0.0,0.0,1.09918e-05,3.241e-07,0.0
Iron Valiant,5.3352700789,0.0584644129,0.0,61.1885405909,0.0389666705,0.9724646948,0.015117308,0.0,188.9528846513,0.0009968894,0.0102898696,0.0026161528,48.073688923,39.7120914384,0.0459889126,7.2424488457,2.1748580824,0.098501504,0.0348666116,1.6387e-05,27.6918829099,1.1553014557,0.0024622325,0.0757795212,0.017901777,4.9978943008,0.0521592738,0.0065204128,5.06171e-05,7.59905e-05,8.3814e-06,0.0019066284,5.4725e-06,0.0505925064,0.0001860545,110.5947228034,0.0063646523,0.008045785,83.1692487221,0.2134839692,1.7223962809,32.7933985786,0.0232957577,15.6899968759,2.46831e-05,48.7206088037,0.0657030624,0.0001766927,0.0970907567,1.5534324053,0.4388205791,6.3421e-06,17.9277877334,18.9055271041,0.0185492724,2.69957e-05,0.0022588389,0.0004327363,0.2090283475,0.0084109094,0.0559920735,0.0400989496,19.402163188,0.0110901143,6.52878e-05,62.4202139762,0.1518927384,13.6817531573,0.003751331,0.0032768416,6.0340680893,0.0009578063,66.9137945244,2.9187394246,0.0937731946,0.1136948349,0.015454608,3.7e-09,0.0130580897,5.005046168,0.0013529819,0.0001340098,0.027462515,0.6536779745,26.4565432706,0.0371652123,18.5496681443,26.159076581,73.0653137422,0.4904683023,0.0016275713,72.2239926446,0.0061618519,0.001646897,45.5153051239,0.3817927874,0.0051003758,0.0,12.1701222407,2.2787654562,0.0163562847,1.3119055413,1.8745194029,1.3645232622,2.4246944677,8.9269461031,0.2337321354,7.15563e-05,30.1675732077,0.0393636308,6.7843871777,0.4409776503,15.0664521163,0.0193552422,0.0119097536,0.0737891001,13.043914522,9.3105210837,0.0547562689,0.9469424548,0.3484115155,0.1483275348,36.2906615414,4.3509054141,45.9074885122,0.2493380935,13.4881666568,1.6121863088,0.0936970527,0.003290068,18.6232923575,0.0025641646,0.0823891508,0.0003216671,1.3597946737,0.0012410309,63.6249023328,0.0037588266,0.0,1.12646e-05,10.3863717053,0.0028063171,135.6728482164,6.78e-08,0.0036439718,0.7155693384,5.1e-09,0.0496782576,3.8816e-05,3.384501799,4.3701036216,11.4675318262,0.4475726732,0.2074691053,17.8398562908,27.8145021114,0.0149336964,0.9049496516,64.9385288834,0.2124113211,8.94361e-05
Volcarona,0.3438642556,0.5247141492,61.1885405909,0.0,0.0054643095,0.0143031359,0.1089392858,1.943e-07,106.5788066436,0.0076379659,0.0228072265,4e-10,8.8979013773,0.7717961161,1.4378477174,3.0070959267,9.0738164199,0.182088379,0.0051963663,0.0006619843,12.3668798324,0.402619457,0.5145789468,0.0894961741,0.0026680527,23.7284722795,0.0201169401,0.0056907219,1.50483e-05,2.1466e-06,0.092209183,0.0273680632,0.0144826179,0.1803951332,2.403e-07,30.4924625209,0.0012526807,0.0002490875,136.442235375,0.0752147696,0.0236016424,42.8555029236,3.109041133,3.6165466848,0.008340711,13.900397754,0.0337102048,0.2322765216,0.0851698394,0.5831468226,0.2779300326,0.0083955432,10.2062285171,4.0227841255,8.75781e-05,2.0374e-06,0.0001986535,0.0004498647,0.0890854399,0.3339206047,4.88843e-05,0.0003282706,34.0148675605,0.0113802436,0.0001984965,22.8729293677,0.1678228012,2.2636643082,0.5021144954,0.0,21.1847588853,5.098e-07,25.0137559228,0.2436701703,0.0040726614,0.0070710785,0.0018181044,0.0092308499,0.002250271,4.3133485551,1.7086e-05,0.0007758926,0.0900093687,2.7585029967,17.1633111087,0.102417523,4.6498782546,31.2364456796,31.4731024246,0.2958231624,0.0342582811,26.9311228348,0.0109895355,4.20266e-05,111.8440565024,0.0065509935,0.0046750009,0.0,53.0331841271,5.9589369772,0.0028665507,0.1250025426,3.8786390883,10.2793855447,21.4702543641,5.8809872437,0.0002080677,1e-10,13.9095865586,0.0003969739,0.1637553973,0.4136536728,22.29588956,0.0168148814,0.0001102096,0.0718713653,4.5281915198,3.6287089086,0.0536571613,0.0391126351,0.6487241248,0.0892126869,7.1517228729,45.1822616564,88.8656044657,0.048127266,0.7938754857,0.6188473383,0.6523498575,0.0005277825,1.9155133318,7.3748e-06,0.0053550674,1.23817e-05,0.0043106084,0.0514031185,29.4645777086,6.94177e-05,0.0,0.0050151136,45.8730737399,0.0024790205,153.1643942809,2.19662e-05,0.0384165703,0.6849853256,0.0009577984,1.0399313402,1.6739e-06,3.7023765205,0.2853386431,6.6288240879,0.2683939064,0.3124832614,9.5825415428,15.2430548957,0.0083573247,0.0902012699,12.3026731021,0.0082796939,3.54e-08
Spiritomb,0.0,7.42857e-05,0.0002817911,0.0314212816,0.0,1.1155e-05,7.93549e-05,0.0,0.0413802002,5.234e-07,0.0019877592,0.0,0.0003988054,0.0,0.0436634318,3.787e-07,5.223e-07,1e-10,1e-10,0.0,2.0477e-06,2.769e-07,1.6728e-06,0.0,0.0,0.0,0.0004595123,0.0019877363,0.0,0.0,0.0,0.0,0.0,3.2163e-06,6.10326e-05,0.0068870389,0.0,0.0,0.0437533783,0.0158159805,5e-10,1.897e-07,0.0,0.0,0.000743922,0.031427177,1e-10,0.0,0.0,0.0,0.0,5.95e-08,0.0110118306,0.001494825,0.0,1.9509e-06,3.1153e-06,3e-10,0.0,0.0,7.15321e-05,0.0,0.0036462622,0.0,1.81e-07,0.0,0.0,0.0173101933,0.0,0.0,0.0,0.0,0.015821078,0.0019910128,1.038e-07,5.219e-07,1.4351e-06,3e-10,3.41333e-05,0.0,0.0074289458,8.71203e-05,2e-10,0.0,4e-10,9.14e-08,0.0,6.142e-07,3.55771e-05,6.126e-07,0.0,1.491e-07,5.0691e-06,0.0,0.0158223363,0.0,0.0,0.0,0.0036478184,0.000743922,3.89317e-05,3.787e-07,0.0,0.0069692036,0.0,0.0014950122,2.29e-08,0.0,0.0314212803,3.38626e-05,0.0,3.4983e-06,0.0097615822,0.0,0.0,0.0,0.0076265893,2e-10,0.0019889619,1.002e-07,1.1e-09,0.0,0.0,0.0329161051,0.0097737949,1.6802e-06,0.0040335555,1.8e-09,0.0,0.0003520132,0.0095064482,2e-10,0.0,0.0436634318,3.38628e-05,0.0002333028,1.871e-07,0.0436634891,0.0,0.0,0.0069706495,0.000743922,0.0595201855,0.0,0.0,0.00329286,0.0,0.0002333257,0.0,3.787e-07,0.0032928601,3.56797e-05,0.0,1.8295e-06,0.0002832697,1.15884e-05,0.0019878393,0.0,1.2254e-06,0.0002333028,0.0
Gallade,0.0,0.0154713189,0.9049496516,0.0902012699,0.0033011947,1.01877e-05,0.0020250512,0.0,0.6880805641,7.13087e-05,0.0253170516,0.0,0.7847201838,1.88596e-05,0.0765020394,0.0369864274,0.025406189,3.51137e-05,4.4535e-06,2.998e-07,0.5214892604,3.7535e-05,0.0139230711,0.00039607,0.0002618137,0.164566643,0.0035316674,9.07e-08,0.0,0.0361039207,7.11e-08,1.39e-08,1.6e-09,2.7588e-06,0.0,0.5305624342,0.048958429,7.63026e-05,2.6536263496,0.0053088287,0.0209684722,0.0985202455,0.0006482651,0.0088155791,0.0094730775,0.0993374315,0.0,2.7579e-06,0.0030046452,1.928e-07,0.1667094796,3.40582e-05,0.0204431687,0.1217250659,0.0003117279,9.1272e-05,0.0,0.0002836752,0.0003437229,0.0092071156,0.00923527,0.002856609,2.3075138389,0.0035152855,0.0032928369,0.0077651339,7.5725e-06,0.2004229095,0.0019960287,0.0010922784,0.1044149198,2.976e-07,0.0955213472,0.0281937534,2.15731e-05,0.1740572603,6.737e-07,0.0003296885,2.07e-08,0.0011673748,0.0091155408,4.1626e-06,0.0028909318,0.0013786597,0.0002509602,0.013282065,0.0525391265,0.0822734617,0.9381786585,0.0268789431,2.6748e-06,0.3937051972,5.62491e-05,0.0010920568,0.3206121596,0.3767321664,7.12654e-05,0.0,0.118411751,0.0002790009,0.0016830426,0.0,0.0022024807,0.0013731039,0.0043743781,0.0030175451,2e-10,2.03389e-05,0.0399084336,6.259e-07,0.0001873123,0.0099949372,2.654048288,0.0014349814,1.9e-09,2.57714e-05,0.6966648604,1.1280551934,0.0096138323,0.0281600289,0.0987776093,0.0008751522,0.1889351925,0.9587364188,0.0834560743,0.124921416,0.022454238,0.0041644816,2.47524e-05,7.56598e-05,0.1854082921,0.0,0.0006097389,2.2491e-05,3.72765e-05,0.0014992058,0.0135773953,2.4e-09,0.0,1.26e-08,0.3078858512,1.6502e-06,0.6648002823,0.0,0.0003982065,0.0009096952,0.0009578151,5.73758e-05,8.3294e-06,0.00161983,0.0170056328,0.2334413612,0.0001461891,0.0002783055,0.0593699485,0.9608874188,0.0009598175,0.0,0.0767500565,0.0003984863,2.09e-08
Barraskewda,1.0373e-06,0.0003882482,0.9724646948,0.0143031359,0.002142101,0.0,0.0004316105,0.438770766,0.6565664681,0.0,0.0113543187,0.0,0.022284011,6.4655e-06,6.5443e-06,0.0149189804,0.3506418705,3.74384e-05,7.7527e-06,0.0,0.0213755117,0.0250070192,0.0001829636,4.77943e-05,3.016e-07,0.0358807896,6.523e-07,0.0105353861,1.43223e-05,0.0,1.30222e-05,0.0,0.0,0.0,0.0,0.156332681,0.0,0.0001288785,0.8714375785,0.0032411893,0.0006132231,0.5801001758,1.8603e-06,0.0001424845,1.32e-08,0.108726808,0.0025502766,2e-10,0.001108228,3.8352e-06,0.0071809054,6.166e-07,0.5909726111,0.0123084613,0.0160569405,0.0,0.0,0.0001481307,0.0001986429,0.0,0.0,0.0,0.830956645,0.0,0.0,0.1865482362,0.5622148126,1.156005018,0.0005589926,0.0,0.0359852707,0.4535313564,0.0087215888,4.1072090403,0.0751148945,0.0001451463,6.79556e-05,0.0,0.0001383378,3.076e-07,0.0002100764,4.5356e-06,0.000177264,0.0264539447,0.0040630238,0.0028100102,0.0016093302,0.0379996035,0.5537220267,0.0125516364,0.0,0.02318292,0.0,0.0001492372,0.2071406663,4.5647e-06,0.0,5.898e-07,0.0226998144,7.23601e-05,0.0002750243,5.15229e-05,8.33686e-05,0.002925898,0.0001905808,0.0014283018,2.741e-07,4.99704e-05,0.6944669079,0.0,0.0040589878,0.0152950486,1.1371736486,3.8614e-06,0.0,1.48113e-05,0.0066737076,0.5616486922,0.0004626037,1.7937741045,0.0159112889,0.0,0.115549846,0.2073726947,0.0524937325,0.0020877021,0.1629687876,0.0016777059,0.0,0.0,0.0061077481,4.3e-09,0.0008387707,0.0,3.016e-07,1.6813e-06,0.0214808922,0.0,0.0104154094,0.0026234932,0.914197096,0.0001492359,1.1669211577,0.0,0.0021738252,4.4094e-06,0.0125778547,0.0018711437,0.0,0.1234207652,0.0001705335,0.2153948449,3.07e-08,0.0156144096,0.0086531232,0.0097547243,0.0001771489,1.01877e-05,0.0014923479,0.0,0.1357735747
Mimikyu,5.8492e-06,0.1274491061,0.015117308,0.1089392858,3.374e-07,0.0004316105,0.0,0.0,0.0574261337,0.0052552933,0.0123259987,3.2e-09,0.0654202213,1.14914e-05,0.0012373363,0.073444459,0.3512566081,0.0531543312,0.0051467677,0.0005107673,0.0284503369,0.0073392106,0.0013190743,7.1973e-05,1.932e-07,0.3667226514,0.0004995109,0.0002525486,4.85178e-05,0.0,0.0009857677,0.0001599212,0.0,0.6902154833,0.0010468225,0.0542085228,0.0217615026,0.0,1.5108325292,0.0010537882,0.0065702952,0.1958051355,0.0053048637,5.24245e-05,0.1853230232,0.0389196748,0.0012714508,7.69903e-05,0.0076131246,0.0024247242,0.0037398012,9.04e-08,0.0337009067,0.0207209314,1.58805e-05,8.9656e-06,0.0066193832,0.0012676448,1.04601e-05,9.58744e-05,0.0001391006,0.0,0.0134139544,0.0004540205,6.90057e-05,5.31167e-05,0.0044566351,0.0955381379,5.8794e-06,6.696e-07,0.0514481163,0.0041536169,0.0256927931,0.6915797819,1.26811e-05,0.0029495848,0.0021535093,5.903e-07,0.0010561034,1.564e-07,0.9021427834,4.52e-08,2.2193e-06,0.0051804916,0.0036936751,5.05718e-05,0.0001933969,0.071208207,0.0367705534,0.0257690896,6.697e-07,0.0272579789,0.0001836663,0.000151664,0.0333535861,0.0058964226,7e-10,0.0,0.0523967639,0.0216465105,0.0005094419,0.000130096,1.17304e-05,0.7466697342,0.0061431893,0.0115441155,1.71595e-05,0.0,0.0006005345,0.0001269802,0.0057816379,0.0099945423,0.1535116068,0.0002665454,1.25791e-05,6.696e-07,0.7289831822,0.0044304336,0.0039501834,0.0053857359,0.0112338637,4.0523e-06,0.0857426146,0.0368894442,0.0706162266,0.0126352143,0.0570965718,0.0004041598,0.005414922,3.20268e-05,0.0551716644,4.5026e-06,1.92553e-05,0.0077681977,0.0003939996,1.9915e-06,0.0036647169,2.12857e-05,0.0,2.4e-09,0.9772330277,0.0084173869,0.0284875846,1.2164e-06,3.6617e-06,0.0058206893,7.42e-08,0.076433502,0.0,0.0701141931,0.0056815451,0.0699883015,4.30611e-05,0.0268080105,0.0087545006,0.0096387919,0.0019467302,0.0020250512,0.0093063674,0.001311526,8.4291e-06
Gholdengo,0.0694419317,0.1661142661,188.9528846513,106.5788066436,3.14931e-05,0.6565664681,0.0574261337,1.943e-07,0.0,0.0168448139,0.0343954995,1.5262e-06,114.3388555265,25.3235296957,6.3256868122,35.2559305232,7.0110284335,0.2253902451,0.0285842091,0.1608295714,142.5842005923,3.1984662471,0.0024494812,0.0425379266,0.1279094724,0.5786975769,0.0350131608,0.1059989533,0.0002789096,0.0471153043,0.225294827,0.0288172547,6.4917e-06,0.0119598702,0.1827453585,148.3668314228,0.0628628601,0.0363417688,173.0366386259,0.4554078775,0.0637821969,136.7789162763,0.008111495,13.0488084229,0.0168596064,180.1090797532,0.0040075671,0.0107673148,2.0089833309,4.2121544915,0.3694338327,0.1792464762,53.3781243986,39.4048959379,0.0062216801,0.0050504963,0.0195891511,2.1006313725,2.8923779168,0.3317562263,0.3197039773,0.0033399612,49.7404146036,0.2353375566,0.1335585301,109.381800099,0.0656499417,8.576067714,0.493236453,0.4173321968,1.6219316951,0.1128274967,110.6381805137,4.4158544787,0.4144554588,11.3084647492,0.1629940543,0.0643741558,0.2151545564,4.3886435351,0.0051195629,0.0057204887,0.1113923656,6.3408005545,10.0089662462,0.5028034363,21.0133267981,98.4379193446,116.588141351,0.5965394532,0.2252604674,76.5889202274,0.0022467103,0.0330618984,104.6987751548,0.2671073067,0.1069321628,0.0,22.4361536024,6.6084735533,0.0084590395,2.2088287633,0.5700300366,17.5781903555,0.0434870055,2.5284102536,2.7468430195,3.9595e-06,47.5016738801,0.1754874391,0.0437660594,0.7300823187,128.13893699,0.0769430663,0.0502873981,0.0039261294,5.6298341226,4.1645695615,0.2112764079,1.9046417786,1.2981697028,0.4634580803,173.1314167178,48.1822737973,77.3246687483,0.6630420708,24.6231383186,1.3938091185,1.64753e-05,0.0351482977,20.9394509381,0.0026003624,0.1461704413,0.0028323663,0.0004008513,0.1790615637,102.6703514706,0.0085910288,1.301068525,0.018806904,40.4503630607,0.1305652869,387.782484237,0.0158674856,0.037977477,1.5872728943,6.79926e-05,0.4268881485,0.0001271176,1.589965071,5.0287129746,24.2980183381,1.7995827038,1.0159424671,20.6480973525,43.3103060559,0.022388571,0.6880805641,55.1281653686,1.5906999448,0.0012337467
Cacturne,0.0,3.8844e-06,0.0001467119,0.0,0.0,0.0,0.0035582695,0.0,4.99433e-05,5.22e-07,0.0,0.0,0.0045355461,0.0,0.000143145,1e-10,0.0192462542,0.0,0.0,0.0,2.6e-08,2.893e-07,0.0,0.0010245871,0.0,0.0,5.39e-08,0.0,2.9342e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0045868207,0.0,0.0,0.0011365418,2.893e-07,0.0,0.0028479146,0.0,0.0,0.0091153327,0.0,0.000521349,0.0,5.32076e-05,0.0001465675,0.0,0.0,1.0373e-06,6.02465e-05,0.0,0.0,3.117e-06,0.0,0.0,0.0,0.0,0.0,1.98924e-05,0.0,0.0,0.0344061737,6.9e-09,5.924e-07,0.0,0.0344058845,0.0345618274,0.0,0.0055495331,0.0044750039,1.444e-07,5.219e-07,0.0,0.0,0.0,0.0,0.0091159775,0.0,0.0,0.0004800447,0.0221104244,6.8314e-06,6.5676e-06,0.0,0.0221209929,4.99433e-05,0.0,6.5168e-06,0.0,0.0,0.0003209933,0.0,3.015e-07,0.0,6.5415e-06,0.0,0.0,0.0,4.13044e-05,0.0005219939,0.0,0.0219637097,6.8314e-06,0.0,4.873e-07,0.0,0.0,4.13044e-05,0.001575281,0.0,0.0,5.4e-09,0.0,4e-10,0.0435212171,0.0,4.5e-09,0.0,5.559e-07,5.939e-07,4.4772e-06,4.487e-07,0.000143145,3.01e-08,1.318e-06,8.928e-07,0.00102853,0.0,0.0,3.117e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0344668221,0.0,0.0005223012,0.000143145,9.467e-07,0.0,0.0,0.0,5.4e-09,0.0001118181,0.0,0.0044750025,0.0,0.0,0.0182969936,0.0,0.0,0.0091153327,2.46e-08,0.0,1.473e-07
Raichu,0.0,9.55621e-05,1.8146e-06,0.000218504,0.0,4.454e-07,1.19e-08,0.0,0.0011411895,0.0,4.454e-07,0.0,0.0003794927,0.0,0.0,0.0005684139,0.0,0.0,0.0,7.8e-09,0.0001448746,1.1806e-06,2e-10,0.0,0.0,0.0,0.0001445742,8.7389e-06,6.16973e-05,0.0,0.0,4.23e-08,9.627e-07,0.0,0.0,6.7182e-06,2.41123e-05,0.0,2.9508e-06,0.0,2.1341e-06,3.734e-07,0.0,4e-10,2.5e-09,0.0001445689,8.7389e-06,0.0,5.934e-07,1.8e-09,0.0,0.0,1.95446e-05,1.516e-07,4.454e-07,0.0,0.0,0.0,3.1889e-06,3.077e-07,1.011e-07,8.94e-08,0.0010943936,0.0,0.0,0.0,3.29e-06,0.0,0.0,0.0,8.5e-09,0.0,3.55066e-05,0.0005396581,0.0,6.5e-08,0.0,0.0,6.3111e-06,0.0,0.0,0.0,0.0007203242,0.0,7.0599e-06,0.0,0.0,0.0,0.0005777262,0.0002482408,1.89504e-05,5.7241e-06,0.0011375591,0.0,7.8e-09,1.90134e-05,0.0,0.0,0.0010734017,0.0005019546,0.0,0.000218504,0.0,0.0007177575,0.0,5.934e-07,0.0,0.0,0.0,0.0,2.8345e-06,1e-08,1.013e-07,7.5e-09,0.0,0.0,3.2312e-06,6.20049e-05,2.37152e-05,0.0,5.7234e-06,0.0,1.233e-07,0.0011434444,0.0005050619,3e-10,0.0,6.53e-08,0.0,0.0010697707,2.61716e-05,1.19e-08,0.0,0.0,0.000218504,0.0,0.0,0.0,0.0,0.0,0.0,4.23e-08,1.28846e-05,0.0,0.0,8.7389e-06,0.0,0.0011425924,1.44623e-05,1.19e-08,1.964e-06,0.0001445682,3.3357e-06,0.0001462418,9e-10,1.011e-07,0.0002185045,1.165e-07,0.0011442645,0.0,9.626e-07
