,Hattrem,Iron Leaves,Gengar,Iron Valiant,Volcarona,Toxicroak,Barraskewda,Mimikyu,Gholdengo,Cacturne,Bronzong,Chansey,Oricorio,Garchomp,Pincurchin,Scream Tail,Quaquaval,Toedscruel,Ditto,Grafaiai,Eelektross,Toxapex,Tauros-Paldea-Aqua,Bisharp,Toxtricity,Indeedee,Lucario,Bellibolt,Florges,Eiscue,Frosmoth,Altaria,Veluza,Slowbro,Oricorio-Sensu,Glimmora,Arcanine,Revavroom,Kingambit,Magnezone,Staraptor,Meowscarada,Cloyster,Klefki,Ting-Lu,Scovillain,Farigiraf,Salamence,Wo-Chien,Haxorus,Dachsbun,Glaceon,Inteleon,Clodsire,Cinderace,Goodra,Noivern,Hippowdon,Blissey,Mismagius,Brambleghast,Primeape,Greninja,Sylveon,Klawf,Hariyama,Decidueye,Iron Jugulis,Kilowattrel,Amoonguss,Jolteon,Armarouge,Golduck,Rotom-Wash,Pelipper,Avalugg,Talonflame,Dudunsparce,Umbreon,Zoroark-Hisui,Rabsca,Dragalge,Heracross,Ceruledge,Palossand,Iron Thorns,Quagsire,Masquerain,Dragonite,Gyarados,Rotom-Fan,Vaporeon,Orthworm,Froslass,Ursaring,Dragapult,Gardevoir,Lycanroc,Breloom,Slowking,Drifblim,Alomomola,Rotom-Mow,Hawlucha,Mudsdale,Torkoal,Venomoth,Polteageist,Grimmsnarl,Ampharos,Tauros-Paldea-Blaze,Iron Treads,Medicham,Brute Bonnet,Samurott,Arboliva,Corviknight,Cetitan,Sableye,Pyroar,Typhlosion,Iron Hands,Scizor,Bombirdier,Donphan,Floatzel,Electrode,Tsareena,Cyclizar,Gastrodon,Grumpig,Weavile,Baxcalibur,Dondozo,Garganacl,Tyranitar,Sandy Shocks,Bruxish,Tinkaton,Indeedee-F,Charizard,Skeledirge,Pikachu,Zoroark,Salazzle,Abomasnow,Roaring Moon,Tatsugiri,Oricorio-Pom-Pom,Cryogonal,Beartic,Crabominable,Hatterene,Rotom-Heat,Great Tusk,Lycanroc-Dusk,Slither Wing,Sandaconda,Espeon,Houndoom,Pawmot,Lokix,Azumarill,Spidops,Maushold,Walking Wake,Hydreigon,Forretress,Gallade,Iron Moth,Flamigo,Drednaw,Krookodile
Fletchinder,0.0,0.0,0.0,3.352e-07,0.0,2.247e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2793e-06,0.0,0.0,0.0029343489,0.0,0.0,0.0,0.0,2.247e-07,0.0,0.0,0.0030926725,0.0,0.0,0.0,0.0,0.0,0.0,1.24e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247e-07,0.0,0.0,0.0,0.0,3.352e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.352e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0272306914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247e-07,0.0,0.0,0.0,0.0,0.0,0.0037146175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74e-08,0.0,0.0,0.0,0.0,0.0,3.352e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53e-08,3.352e-07,0.0,0.0,0.0044241985,0.0,0.0,1e-10,0.0
Bronzong,0.0,0.0023690793,0.0222884208,0.1925880347,0.7810334967,0.0029517513,0.0100439789,0.0178921806,0.0442014267,0.0,0.0,6.46e-08,1.0703e-06,0.2263364115,0.0011026906,9.0733e-06,0.0197252534,0.0039284919,0.002547369,0.0104052712,0.0187712745,0.2980244366,6.4e-09,0.0002687883,0.0018464904,0.0114780659,0.0010660958,0.0187264876,0.0305777373,0.0002914314,0.0001503628,0.0001240004,1.22e-08,0.0115394231,0.0,0.0483135911,0.0076958488,3.26e-08,0.1370790355,0.0395026653,0.0318005401,0.8046532372,0.0076991443,0.0038628779,0.0039379581,1.33229e-05,0.0267879447,7.04166e-05,1.95e-08,0.0045160504,0.0005456086,0.0053745847,0.0,0.0650860917,0.0468357192,0.0001741075,0.0017576623,0.0006196998,0.0001841115,0.0143774211,0.0,1.683e-07,0.0015379485,0.0034280362,1.411e-07,0.0001144808,1.3233e-06,0.0203187152,0.0095285192,0.022394307,7.05e-08,0.0204809869,8.16e-07,0.1082589174,0.0136685432,7.15697e-05,0.0308159655,7.2e-08,0.0354290853,0.0223774547,0.0779850982,1.455e-07,0.0183212704,0.0021579572,4.8259e-06,0.0001913571,7.635e-07,0.0012819382,0.055618074,0.0021522331,2.1184e-06,0.0,0.0010329993,3.903e-07,3.8488e-06,0.8377661863,0.0018088937,9.93e-08,0.0218749274,0.0213638884,0.0011457994,0.0029937781,3.91e-07,0.0104022283,7.2486e-06,0.4482909352,8.19e-07,5.29705e-05,0.0483341919,0.0012055226,0.0026704269,0.0013086002,0.002306705,0.0157866638,4.69458e-05,5.0669e-06,0.0201178326,0.0065490844,5.2e-09,4.7661e-06,2.5889e-05,0.2538433951,0.0737374947,0.0,3.80186e-05,0.0036068936,0.0013063808,0.000156254,0.1886783382,0.0102885769,0.0,8.2885e-06,0.0183842134,0.0079673148,0.2128240582,0.0185814425,0.068144403,8.9e-09,0.0015675083,6.10574e-05,6.77702e-05,0.3536473101,4.53e-08,2.5523e-06,2.557e-07,3.325e-07,0.5183036382,2.46e-08,0.0,3.3293e-06,3.76e-08,0.0128498413,0.7478238043,0.0369484607,1.351839742,2.25e-08,0.030511542,4.2471e-06,0.0010559847,4.46e-07,8.86524e-05,0.0205357628,0.8099316365,3.0378e-06,0.0645569248,0.4470561226,0.014975504,0.0045868614,0.1442042856,0.0003508821,4.50856e-05,4.84911e-05,0.001144132
Volcarona,0.0014501068,0.9451153138,1.0429145745,261.216500315,0.0,2.2134e-06,0.1620369687,0.2775671127,138.655795599,0.0668609625,0.7810334967,0.0304724658,0.0033402756,38.5996413377,0.0774255489,4.3200924038,7.0055897849,5.7617266705,0.3769629304,0.0314260243,0.0342516956,64.153231824,0.1229114397,0.0576519903,1.2303287704,28.2538568089,1.7187726141,0.0199103894,0.0113403785,0.0022274352,0.3402880325,0.0071445058,0.2137785212,0.0305548338,1.0474763059,167.1256908744,0.0008483596,0.3299387005,327.7089640321,2.1813518176,0.0493658632,109.6651787327,17.1248560565,0.5131412203,26.9831154996,0.2285795538,0.0006637806,0.340959112,0.244680965,1.8377086248,0.046403418,0.2162339714,0.2056330147,64.5077000509,9.3001849554,0.0353938263,0.0970733045,0.1307168993,13.5524540561,0.191949455,3.130254082,0.2028319942,16.6561937106,3.3999791017,1.0419004197,0.4564933227,0.1162602319,19.8923464144,0.0063021668,7.2159842651,0.0172949781,39.4011203487,0.0004686597,54.8584700909,0.2556792498,1.9327641083,0.0864629099,0.1543382579,0.0160929732,14.6948740467,0.014540766,0.0012391018,0.1362827551,3.6544826827,0.327907268,0.3301088179,0.1718534177,0.9335910124,128.9706592105,2.6323805372,4.5956e-06,0.0636586625,103.4861239665,1.9030884963,0.041307474,223.3957822719,0.0785550657,0.0136949234,29.9615021022,8.7860790284,0.107832302,14.1121445498,0.0036377799,0.7477869317,0.299101333,14.522871123,0.0360719871,28.1982316337,8.2233456979,0.0006778039,0.1277020608,10.3158728242,0.2046146641,4.5129598292,0.2918368922,0.2857549132,74.7776917366,0.0246899907,0.109531884,0.0023088232,0.2295126499,39.9230049224,6.2213146744,6.3048e-06,0.1866018162,0.068095643,0.0229296155,0.0050766874,8.7918303087,2.2451594594,0.0,0.3441005251,136.4114500777,25.1721746333,76.8696806239,0.6223790947,5.5728044378,0.0,6.5706273098,0.5151358576,0.0572925527,1.2639777457,0.0108633046,0.016821165,0.0051716302,2.3903714512,124.2833451184,0.0011631435,2.6502156636,0.0128987369,0.0242650598,0.0001081733,78.276461773,0.0182432782,312.4231699132,1.1234993969,0.880851868,11.1127967329,0.7215082165,0.0009114753,28.4426715527,1.9040169304,29.5187675004,0.1523205639,3.905781586,22.8118382239,21.8984958642,0.2990493922,1.7425254779,50.8743141136,0.1121284098,0.044459006,0.0342903962
Spiritomb,0.0,4e-10,4.41486e-05,0.009582202,0.0249168423,2e-10,7.335e-07,0.0021838813,0.0023153807,6.7828e-06,1.866e-07,0.0,0.0,0.0287587396,0.0001350711,7.1155e-06,0.0036544878,0.0036527607,4.616e-06,0.0099232677,0.0087052597,9.54211e-05,0.0,1.43488e-05,0.0,0.0067875579,0.0031508413,0.0128463193,0.0,0.0,0.0,5.4936e-06,0.0,3.62836e-05,0.0,0.0060478622,3.34747e-05,0.0073178309,0.0090335272,0.0004530748,0.0005664743,0.0001374707,0.0001923746,0.002779968,1.991e-07,0.0,0.0035633317,0.0003728089,1.776e-07,6.4166e-06,0.0,0.0005250873,0.0,0.0399186852,8.6939e-06,8.97684e-05,2.4356e-06,4.7e-08,3.305e-07,0.0005813822,0.0026055057,1.9e-09,0.0248405748,1.12757e-05,0.0036526465,0.0005997129,0.000873825,2.45696e-05,1e-10,0.0130830678,0.0,0.0002128439,0.0,0.0004755555,0.0007028176,4.913e-07,0.0021566684,6.6453e-05,0.0002684052,0.0044582808,3.65e-08,0.0128463203,0.0003153941,0.002114747,2e-10,9.9935e-06,0.0001814987,0.0,0.0016564054,0.0001176106,0.0,0.0128463193,2.74857e-05,1.299e-07,1.45122e-05,0.0023302506,4.27686e-05,1.8258e-06,0.000176763,0.000261647,8.983e-07,1.558e-07,2.4911e-06,4.41236e-05,7.797e-07,0.0074201696,2.11e-08,0.000287939,0.0002018157,5e-10,1.41564e-05,0.0027563904,0.0,0.0005604153,3.32586e-05,0.0321762129,0.0142583678,3.32412e-05,1.7057e-06,2e-10,1.47113e-05,0.0069544715,6.93e-08,0.0,2.98e-08,9.217e-07,0.0,8e-10,0.0,0.0072836186,2.5262e-06,2.20822e-05,0.0069292705,0.0008205563,0.0026817112,0.0004002816,8.65e-08,2.9094e-06,0.0001806569,7.1915e-06,2.22793e-05,0.0076347932,0.0,0.0002365866,8.6739e-06,0.0,0.0001797203,1.52e-08,7.2167e-06,0.0026062595,2.16084e-05,5.755e-07,0.0074130717,6.107e-06,0.0081348528,0.000666338,0.0001910309,0.0,0.0001731058,0.0001288606,4.64497e-05,1.9318e-06,0.00070586,7.132e-07,0.0003693017,0.0002435904,0.0127924219,0.0007123817,0.0063894303,0.0007353472,7.1915e-06,0.0,5.0837e-06
Toedscool,0.0,0.0,7e-10,0.0,0.0,0.0,0.0,0.0,1.269e-06,0.0,7e-10,1.9e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-10,1.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-09,1.58e-08,0.0,0.0,0.0,0.0,5.26439e-05,0.0,0.0,0.0,3.26298e-05,3.05094e-05,0.0,3.05094e-05,5.047e-06,0.0,0.0011568342,0.0,0.0,0.0,0.0,3.05094e-05,0.0,0.0,7e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05094e-05,0.0,0.0,0.0011517872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5854e-06,0.0,0.0,1.9e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0011552068,8.02267e-05,0.0,0.0,1.5e-09,0.0,0.0,0.0,0.0,1.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-10,0.0,8.14957e-05,0.0,0.0,0.0,0.0,0.0,5.047e-06,1.269e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011517872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mimikyu,0.0091803829,0.003604374,0.0170405772,3.0611002899,0.2775671127,1.0113e-06,8.98085e-05,0.0,4.1611082436,0.0001087862,0.0178921806,0.0167221011,6.5631e-06,3.10101568,0.0002674512,0.0034280139,0.0832431609,2.1038273949,0.1420144067,0.002489609,0.0006451124,0.5286129076,0.0019866137,0.0004528323,0.0223833858,0.010629487,0.005459905,0.003517573,0.0001014014,0.0001241911,6.3e-09,0.0071891174,0.0131635527,0.6022227755,0.0131428638,0.2908189327,0.0381583369,0.0166077096,3.5090385868,0.1738148941,0.0134925654,0.4875023795,0.0205555527,0.1116771067,0.6124027126,0.0013916456,0.0157966532,0.0902655932,0.1498949271,0.00934136,0.0001721522,0.0309726959,7e-10,0.5357834554,0.4211035752,0.0187474993,0.0263684171,0.0379256953,0.0123401335,0.0008871332,0.0045793748,0.0002583509,4.8023257625,0.0220204018,6.46487e-05,0.0063953239,0.0069188484,0.0072573111,0.003826912,1.4393019634,0.0161077476,0.3295682459,2.9632e-06,0.6058210363,1.6493023901,6.51362e-05,0.41594169,0.0003001646,0.0115250597,3.6519108932,0.0251521485,0.017156323,0.0861905867,0.0342011044,1.96329e-05,1.7907999405,0.0085017783,0.0029553366,6.2060581662,0.0113963438,7.1387e-06,0.0213034149,1.886746915,0.5705984063,0.0422743521,0.7812959259,0.3762970956,4.22617e-05,0.3176090677,0.4997502418,0.0005806769,0.09642655,0.0004832604,0.0124914618,9.12908e-05,0.6656256973,1.24e-07,0.0418572588,0.0377529961,0.0050314948,0.0283603749,0.0590087523,0.018154334,0.0665731948,0.0901529545,0.0669166376,0.4037074448,0.0019397402,0.0007142452,8.4e-09,0.0250289155,2.1449716967,0.2053041245,0.0001628545,0.0023664945,0.019443321,0.0024052645,0.0046344594,0.0655342612,0.1053927713,2.1375e-06,0.004244307,0.7850040488,0.178759957,0.1950981803,0.0331470478,0.081618222,5.055e-07,0.0428146364,0.0001696759,0.0008769468,0.9252749478,0.0033714212,0.0013019028,0.0025821705,0.0074403223,0.1258516419,0.0011308835,0.0249953828,0.0098166895,3.6489e-06,0.0915663261,2.9684435421,0.1955367297,3.136558578,0.0009006673,0.0692777539,1.02e-08,0.0055171867,4.8587e-06,0.0223005977,0.0361786858,0.3701353633,0.0083552806,0.0719410566,0.3137541002,0.0324483414,0.002293533,0.0052443469,0.7716066447,0.0823233841,1.78552e-05,9.96062e-05
Gholdengo,0.0,1.1978041452,2.8196076393,422.3601514361,138.655795599,0.1305657673,6.4955147159,4.1611082436,0.0,0.0014774958,0.0442014267,0.1435500667,0.0005505609,148.5014296415,0.5651598757,12.0985468699,32.4482245334,8.0420062849,1.7646472898,0.290980803,0.1777566929,74.3489372111,0.693574575,0.5154076155,3.6247731281,0.1340821064,0.3325294945,1.2644516209,0.2530743166,0.0397687073,0.0671360441,0.03367079,0.1421546332,0.2643056295,1.0639344335,220.1068925496,0.2316902083,0.0547908668,501.6471557975,11.4128048069,1.6237719869,230.9800794451,3.0717597086,2.9348241075,394.1310233381,0.0535778592,0.1182300529,1.6757277591,5.4298759897,1.0124791142,0.0566056207,0.0062157559,0.1215969443,71.7983393358,41.6650365463,0.0569419126,0.5344241862,1.8268416122,4.314310205,0.1423467264,1.1551076118,0.0087919427,61.7304838011,4.6155506405,0.0464198684,0.7054312006,0.7690218487,40.5337004979,2.2656465214,50.9475782557,0.1069175062,2.6514797668,0.8872202136,155.865483572,28.7916346062,0.1453335057,17.990115671,0.0612771903,0.4779525515,22.2519819317,0.0021903107,0.0017119051,0.3357357053,13.5765235922,0.2899320933,2.0418844936,0.6093681724,34.6376273646,497.6739202674,3.6192265659,0.0364306327,2.5415461328,13.4118907029,1.2283200671,0.0029988788,221.2836012065,0.2289218297,2.4968809557,26.3608366505,30.8652629995,0.2641420908,4.0328227801,1.7074186385,1.7977354365,0.0027398152,8.589048851,0.0031470669,0.4086584082,7.423022561,1.1e-09,1.6086211276,12.2103262732,0.1065586444,0.8490896989,0.479437884,8.9006815639,57.7342630654,0.1712039833,0.3659384925,0.002637483,1.8275331215,10.6253944301,10.9568908439,0.0334914705,0.3054990877,6.885155514,1.2754849253,0.1860454136,11.1125702201,2.7967222893,0.0,1.2702102355,324.3892300397,46.8735524173,96.4967569009,2.9440853183,13.3022735747,0.0189909366,1.3326865067,0.080105685,0.0307217692,45.0982885998,0.0061087521,0.0383037906,0.8236258385,0.8661529824,165.4098742019,1.6010970796,0.3224994286,0.030190227,0.0012945835,0.2019521299,36.6442043472,0.5971393467,752.6692458266,0.2945211145,9.019003539,0.020726721,0.0632512628,0.4425123873,6.4465001466,1.2217947958,99.2001146239,1.1181460859,27.9466362441,55.5222790208,45.7967676697,0.1827338326,2.1289260698,390.6505887466,1.2891543479,0.1024762616,0.0414250484
Cacturne,0.0001799957,7.9129e-06,0.0002305226,0.1264330722,0.0668609625,1e-10,4.889e-07,0.0001087862,0.0014774958,0.0,0.0,0.0001857859,1.829e-07,0.0018268297,0.0,0.0091719883,0.0002708469,0.0,0.0,0.0,0.0064956823,0.0003018736,0.0,0.0001850124,0.0012734901,0.0,0.1277646432,4.0664e-06,9.58428e-05,7.912e-07,1e-10,5.40616e-05,0.0,0.0001580343,0.0,1.37115e-05,0.0007701135,5.202e-07,1.0735068217,0.0016834825,3.31954e-05,7.9155e-06,0.0016042084,3e-10,4.02506e-05,0.0003071397,1.7204e-06,0.0001087862,7.9147e-06,4.449e-06,0.0,0.0020102125,0.0,0.0015966022,0.0383065446,2.4771e-06,0.0003203861,0.000305711,1.8e-09,0.0,0.0,0.0,0.0021799984,6.7828e-06,4.16e-07,1e-10,0.001464643,3.602e-07,1.9e-09,9.6392e-06,0.0,6.081e-05,0.0,0.0019629023,0.0014119321,5e-10,0.0014235935,4.35e-08,0.0,0.0002403754,0.0001799958,0.000283503,7.959e-07,0.0015892346,3.6798e-05,9.5084e-06,0.0170193261,0.0678466698,0.1530827808,0.0022454826,0.0,8.07e-08,0.0272649808,0.0001087952,0.0,0.0003019275,3.67975e-05,0.0,0.0014807883,0.0003211767,0.0063295457,0.0,0.0,0.0,0.0002720771,1.0792235109,0.0,0.0002720159,9.3131e-06,3.07926e-05,4.16e-07,0.0946824771,0.0007937959,0.0001168168,0.0012735136,1.2617e-06,0.0383965326,0.0015892703,7.3371e-06,0.0,0.0078863012,2.50431e-05,5.32032e-05,3.04653e-05,0.0,0.0014114432,0.0,4.51e-08,0.0,0.0368001965,4.16e-07,0.1258664333,0.0983992808,4.0665e-06,0.002153338,0.0002989184,6.08019e-05,0.0,0.0,8e-10,0.0170193275,0.0371324051,0.0003018707,4.64916e-05,0.0,7.164e-07,0.067701233,1.0574e-06,1.147e-07,1.142e-07,0.0005001289,2.14e-07,1.0881675928,3.75139e-05,1.2603247851,0.0,9.8504e-05,0.006135847,2.39125e-05,0.0005232262,0.0001220558,0.0,0.0003417314,7e-10,0.0282816938,1.0792261988,0.0021374373,2.18174e-05,0.0,0.0006519241,9e-09,4.889e-07,0.0003528872
Raichu,0.0002779708,4.73e-08,0.0224427159,7.50254e-05,8.8219e-06,0.0002099422,6.57e-08,0.0004578767,0.0002254276,0.0019143697,4.7e-08,8.8e-09,0.0,0.0477426597,0.000400619,0.0079783603,0.0014342572,4.56291e-05,1.534e-06,0.0,1e-10,0.0017098245,0.0024815452,0.000534733,0.0004020689,0.0002039699,0.0496863548,2.7e-09,0.000172209,0.0002358388,0.0,0.0001030841,0.0,0.0001596859,6.836e-06,0.0010161301,0.0039059132,1e-10,0.0058651126,0.0004012958,0.0009030581,0.0002167378,0.0195989255,1e-10,0.0013448675,6.21e-08,6.24511e-05,0.0010555459,4.453e-07,8.0772e-06,5.6514e-06,0.0019192016,0.0007181554,0.0015858836,0.0011360666,0.0009663275,0.0002250319,8.75e-08,0.0025707326,0.0001119965,0.0,9.04718e-05,0.008748578,0.0002305313,0.0,0.0,2.056e-07,9.78918e-05,6.8466e-06,6.1654e-06,5.064e-07,0.0013392269,0.0001069564,0.0005685248,0.0031971128,8.3603e-06,0.0477317864,0.0,1.3212e-06,0.0002930401,2.52837e-05,7.9395e-06,0.0001929166,0.001693606,3.75e-08,2.26e-08,6.43389e-05,4.6314e-06,0.0229440939,0.07025468,0.0,0.0025313196,0.0005416941,0.0,0.0002099588,0.0018552122,0.0481495658,3.2e-09,0.0080885733,0.0001270806,7.188e-07,0.0,1.82e-07,1e-10,0.0,0.0014363294,0.0195551768,0.0002224924,1.9986e-06,1.2762e-06,6e-10,0.0083978032,0.0,2.453e-07,8.63434e-05,0.00017221,0.0009559187,0.0002028285,8e-10,0.0001534463,2.1837e-06,1.5934e-06,0.0004813068,0.0,0.0001401783,5.2896e-06,0.0005386324,0.0,0.0,1.01379e-05,0.0,0.0,0.0010452316,0.0079785057,0.0001988665,9.76723e-05,0.0001737996,0.0,8.2e-09,0.0,0.0004137558,0.0039767278,1.0286e-06,0.0002099335,7.48e-07,0.0001034541,0.0023091828,0.0,0.0,3.75e-08,8.6e-09,0.0,0.001124206,8e-10,0.0040533918,0.0003190118,0.0,0.0,0.0007331275,0.0002854955,5.45204e-05,2.6e-08,0.0054567284,9.9966e-06,0.0001307514,0.0001093896,3.4253e-06,0.0004681822,9.56911e-05,0.0023315799,1.46e-08,1.2681e-06,4.5427e-06
Iron Valiant,2.22589e-05,18.3972759972,0.6449482896,0.0,261.216500315,0.0494096441,2.7772482634,3.0611002899,422.3601514361,0.1264330722,0.1925880347,0.009527867,0.0010821456,130.2050798172,38.1361409345,1.5599876045,35.0020960767,3.2925828437,0.3552008123,2.5355370298,0.1097166013,132.1156598306,0.2218040464,0.3175021204,12.32497228,3.4353207578,0.5061724498,3.3409288244,0.0622731132,0.1654716379,0.0843014362,0.1600589427,0.3776134919,0.136131958,0.1959719705,355.48655633,1.0319230941,0.4145964688,835.0917943934,1.4682932604,15.1504510568,162.9034997805,14.7451256305,1.7895747713,182.8084945642,0.0082942324,0.0042248173,7.7320944538,0.4880112622,10.8367566941,0.0854679416,0.1658075842,0.2194965934,73.7675294666,78.7187946314,0.1078312832,2.390931635,0.2790370168,3.4681847483,0.2628656066,5.28791062,0.3549073106,93.4902127487,3.0761617203,0.0778702043,0.0110485248,0.1836720625,79.4622061201,0.0625873752,158.360811884,0.1507836111,21.2205672305,0.0170047199,119.321416766,9.4320456593,0.2866363933,0.4684970815,0.2383238161,0.1195434573,50.9492679808,0.1260875488,0.0870342735,0.1808597631,89.0191189987,5.77295e-05,4.1789496088,0.3024784306,22.0433368238,444.1519958667,3.834997215,0.0001322644,0.014020842,326.7568779569,3.2956244458,0.049142983,260.2263325974,0.7584825528,0.5932744362,103.4520769415,68.4807189924,0.3150911034,1.1514915548,0.0324505135,4.8521184228,0.3646377951,6.866186168,0.623185679,4.9698308351,36.5718995457,0.0027045621,0.2885700129,105.6320558705,0.0038256257,0.9040085996,0.2324653212,2.6332819181,173.1098489847,0.2333207722,0.1309111679,1.8745e-06,1.2894799234,30.8177831637,17.9051026737,0.0337201894,0.1585752414,0.4143842734,0.0121108876,4.1319893219,10.6961772004,2.3217308361,0.0,14.9670202271,319.7419892928,28.8061515585,80.7244638588,8.3577958971,36.5833937524,0.000797212,6.4392484743,0.0532065012,0.3187308322,67.1779071826,0.7357789988,0.0075689756,0.0147868197,2.4056534714,451.4510286961,0.0208180567,0.1352173149,0.2017154749,0.0004795235,0.0126795172,69.5474318273,0.5134178741,653.0838077552,0.6678574585,5.8980782209,11.1127740667,0.8722424952,0.436005043,50.8827675773,3.3270660888,67.5703603123,0.1671337005,48.6667021799,53.1950084626,112.611046198,1.0751137154,6.654665051,457.4250026367,0.5619953919,0.0578149107,0.0773487057
